Birth	Marriage	Became Duchess	Ceased to be Duchess	Death	Spouse
11 December 1455	4 June 1474	21 July 1495 Created Duchess	24 February 1496 husband's death	30 May 1503	Eberhard I
29 October 1451	April/May 1467	24 February 1496 husband's accession	11 June 1498 husband's death	28 March 1524	Eberhard II
24 April 1492	2 March 1511	2 March 1511	January 1519 husband's desposition	30 August 1564	Ulrich
Württemberg annexed by Austria 1519–1534.	Württemberg annexed by Austria 1519–1534.	Württemberg annexed by Austria 1519–1534.	Württemberg annexed by Austria 1519–1534.	Württemberg annexed by Austria 1519–1534.	Württemberg annexed by Austria 1519–1534.
24 April 1492	2 March 1511	May 1534 husband's restoration	6 November 1550 husband's death	30 August 1564	Ulrich
28 December 1526	24 February 1544	6 November 1550 husband's accession	28 December 1568 husband's death	20 May 1589	Christoph
20 June 1559	7 November 1575	7 November 1575	19 May 1583	19 May 1583	Louis III
24 February 1572	10 May 1585	10 May 1585	18 August 1593 husband's death	15 February 1635	Louis III
28 September 1564	22 May 1581	18 August 1593 husband's accession	29 January 1608 husband's death	26 October 1614	Frederick I
16 November 1584	5 November 1609	5 November 1609	18 July 1628 husband's death	13 February 1636	John Frederick
27 January 1614	26 February 1637	26 February 1637	27 June 1655	27 June 1655	Eberhard III
29 December 1639	20 July 1656	20 July 1656	2 July 1674 husband's death	29 June 1698	Eberhard III
28 April 1652	6 November 1673	2 July 1674 husband's accession	23 June 1677 husband's death	11 August 1712	William Louis
3 October 1680	6/16 May 1697	6/16 May 1697	31 October 1733 husband's death	2 July 1757	Eberhard Louis
11 August 1706	1 May 1727	31 October 1733 husband's accession	12 March 1737 husband's death	1 February 1756	Charles Alexander
30 August 1732	26 September 1748	26 September 1748	6 April 1780	6 April 1780	Charles Eugene
18 December 1736	2 November 1753	20 May 1795 husband's accession	23 December 1797 husband's death	9 March 1798	Frederick II Eugene
29 September 1766	18 May 1797	23 December 1797 husband's accession	25 February 1803 elevated from Electress	5 October 1828	Frederick III
