Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	15-8	Kalib Starnes	Decision (unanimous)	AFC 19: Undisputed	3	5:00	Edmonton , Alberta , Canada
Win	15-7	Jordan Tracey	TKO (punches)	KOTC: Earthquake	1	2:25	Edmonton , Alberta , Canada
Loss	14-7	Mike Hackert	TKO (punches)	MFC 34	1	2:27	Edmonton, Canada
Loss	14-6	Mike Hackert	Decision (unanimous)	Prestige FC 4	3	5:00	Fort McMurray , Canada
Win	14-5	Craig Hudson	KO (punch)	KOTC: Unified	1	2:06	Grande Prairie, Alberta Canada
Win	13-5	Vince Lucero	Submission (guillotine choke)	AMMA 8: Unfinished Business	1	1:14	Edmonton, Alberta Canada
Loss	12-5	Matt Mitrione	TKO (punches)	UFC Fight Night 23	1	2:59	Fort Hood, Texas , United States
Win	12-4	Travis Wiuff	KO (punch)	AMMA 5: Uprising	1	1:50	Edmonton, Alberta , Canada
Win	11-4	Zak Jensen	KO (knee)	AMMA 4: Victory	1	2:11	Edmonton, Alberta , Canada
Loss	10-4	Joey Beltran	Decision (unanimous)	UFC 113	3	5:00	Montreal, Quebec , Canada
Loss	10-3	Chris Tuchscherer	Decision (majority)	UFC 109	3	5:00	Las Vegas, Nevada , United States
Loss	10-2	Todd Duffee	KO (punches)	UFC 102	1	0:07	Portland, Oregon , United States
Win	10-1	Pat Barry	Submission (guillotine choke)	UFC 98	1	1:42	Las Vegas, Nevada , United States
Win	9-1	Miodrag Petković	Decision (unanimous)	Raw Combat: Redemption	3	5:00	Calgary, Alberta , Canada
Win	8-1	Sherman Pendergarst	TKO (strikes)	KOTC Canada: Unrefined	2	N/A	Edmonton, Alberta , Canada
Win	7-1	Jeff Lundburg	KO (punches)	KOTC Canada: Moment de Vérité	1	N/A	Montreal, Quebec , Canada
Win	6-1	Jared Kilkenny	KO (punch)	KOTC Canada: Brawl in the Mall 3	1	0:09	Edmonton, Alberta , Canada
Loss	5-1	Miodrag Petković	Decision (split)	Hardcore Championship Fighting: Destiny	3	5:00	Calgary, Alberta , Canada
Win	5-0	Adriano Bernardo	TKO (doctor stoppage)	KOTC Canada: Brawl in the Mall	2	3:49	Edmonton, Alberta , Canada
Win	4-0	Ruben Villareal	Decision (unanimous)	KOTC: Megiddo	3	5:00	Vernon, British Columbia , Canada
Win	3-0	Jared Kilkenny	TKO (punches)	KOTC Canada: Amplified	2	0:31	Edmonton, Alberta , Canada
Win	2-0	Jessie Jones	Submission (verbal)	KOTC Canada: Icebreaker	1	3:12	Prince George, British Columbia , Canada
Win	1-0	Eric Macdonald	Submission (guillotine choke)	KOTC Canada: Detonator	2	N/A	Calgary, Alberta , Canada
