Rank	Surname	Number of bearers 2008	Type	Etymology
1	Hansen	56.228	patronymic	son of Hans
2	Johansen	52.461	patronymic	son of Johan
3	Olsen	52.184	patronymic	son of Ole
4	Larsen	39.425	patronymic	son of Lars
5	Andersen	38.433	patronymic	son of Anders
6	Pedersen	36.362	patronymic	son of Peder
7	Nilsen	36.324	patronymic	son of Nils
8	Kristiansen	24.310	patronymic	son of Kristian
9	Jensen	23.836	patronymic	son of Jens
10	Karlsen	22.153	patronymic	son of Karl
11	Johnsen	21.226	patronymic	son of John
12	Pettersen	20.856	patronymic	son of Petter
13	Eriksen	19.563	patronymic	son of Erik
14	Berg	18.407	landscape	mountain
15	Haugen	14.293	landscape	the hill or mound
16	Hagen	14.293	landscape	the enclosed pasture
17	Johannessen	13.815	patronymic	son of Johannes
18	Andreassen	12.376	patronymic	son of Andreas
19	Jacobsen	12.105	patronymic	son of Jacob
20	Halvorsen	11.859	patronymic	son of Halvor
