Driver	Seasons	Entries	Wins	Percentage
Michael Schumacher	1991 – 2006 , 2010 – 2012	308	91	29.55%
Alain Prost	1980 – 1991 , 1993	202	51	25.25%
Ayrton Senna	1984 – 1994	162	41	25.31%
Sebastian Vettel	2007 – 2013	118	37	31.36%
Fernando Alonso	2001 , 2003 – 2013	215	32	14.88%
Nigel Mansell	1980 – 1992 , 1994 – 1995	191	31	16.23%
Jackie Stewart	1965 – 1973	100	27	27.00%
Jim Clark	1960 – 1968	73	25	34.25%
Niki Lauda	1971 – 1979 , 1982 – 1985	177	25	14.12%
Juan Manuel Fangio	1950 – 1951 , 1953 – 1958	52	24	46.15%
