Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1958	Helmut Kraule	Lotte Heri	Valentin Taupe August Woschitz	Hilde Taupe Anni Taupe	Bernd Frohnwieser Hilde Themel
1959	Bernd Frohnwieser	Hilde Taupe	Hans Fauland Heinz Gertz	Lotte Heri Anni Ninaus	Bernd Frohnwieser Hilde Themel
1960	Bernd Frohnwieser	Lotte Heri	Bernd Frohnwieser Heinz Ottmann	Hilde Taupe Anni Taupe	Bernd Frohnwieser Hilde Themel
1961	Fritz Plockinger	Hilde Taupe	Bernd Frohnwieser Heinz Ottmann	Hilde Taupe Anni Taupe	Hermann Fröhlich Lore Voit
1962	Heinz Ottmann	Britta Kajdasz	Franz Fuchs Kurt Achtleitner	Britta Kajdasz Christa Schlogl	Hermann Fröhlich Lore Voit
1963	Reinhold Pum	Britta Kajdasz	Reinhold Pum Karl Buchart	Lore Voit Brigitte Hlinka	Reinhold Pum Brigitte Hlinka
1964	Reinhold Pum	Hilde Kreulitsch	Reinhold Pum Karl Buchart	Lore Voit Brigitte Hlinka	Hermann Fröhlich Lore Voit
1965	Reinhold Pum	Hilde Kreulitsch	Reinhold Pum Karl Buchart	Elisabeth Wieltschnig Ingrid Wieltschnig	Hermann Fröhlich Lore Voit
1966	Reinhold Pum	Elisabeth Wieltschnig	Franz Fuchs Erwin Kirchhofer	Elisabeth Wieltschnig Ingrid Wieltschnig	Reinhold Pum Ingrid Wieltschnig
1967	Hermann Fröhlich	Ingrid Wieltschnig	Bernd Frohnwieser Reinhold Pum	Elisabeth Wieltschnig Ingrid Wieltschnig	Reinhold Pum Ingrid Wieltschnig
1968	Reinhold Pum	Ingrid Wieltschnig	Reinhold Pum Leopold Bauer	Elisabeth Wieltschnig Ingrid Wieltschnig	Reinhold Pum Ingrid Wieltschnig
1969	Hermann Fröhlich	Ingrid Wieltschnig	Reinhold Pum Leopold Bauer	Elisabeth Wieltschnig Ingrid Wieltschnig	Hermann Fröhlich Lore König
1970	Hermann Fröhlich	Hilde Kreulitsch	Erwin Kirchhofer Karl Klesadl	Elisabeth Wieltschnig Ingrid Wieltschnig	Hermann Fröhlich Lore König
1971	Hermann Fröhlich	Ingrid Wieltschnig	Alfred Hofer Dieter Hofer	Elisabeth Wieltschnig Ingrid Wieltschnig	Reinhold Pum Friederike Pum
1972	Alfred Hofer	Ingrid Wieltschnig	Leopold Bauer Alfred Kohlhauser	Elisabeth Wieltschnig Ingrid Wieltschnig	Siegfried Jost Ingrid Wieltschnig
