NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )	Apparent magnitude
3021	Spiral galaxy	Leo Minor	09h50m57s	°33′15″	12.2
3030	Galaxy	Hydra	09h50m10.5s	°13′35″	15
3031	Spiral galaxy	Ursa Major	09h55m33.2s	°03′55″	8.1
3032	Lenticular galaxy	Leo	09h52m08.2s	°14′12″	13.0
3033	Open cluster	Vela	09h48m30s	°26′	9.2
3034	Irregular galaxy	Ursa Major	09h55m52.2s	°40′49″	9.2
3035	Spiral galaxy	Sextans	09h51m54.0s	°49′15″	13.5
3049	Spiral galaxy	Leo	09h54m49.8s	°16′17″	13.5
3054	Spiral galaxy	Hydra	09h54m28.9s	°42′07″	12.2
3077	Irregular galaxy	Ursa Major	10h03m20.0s	°44′02″	10.9
3079	Spiral galaxy	Ursa Major	10h01m58.5s	°40′50″	11.2
