Name	Dates active	Windspeeds	Pressure	Deaths
01F	December 1– 2	Unknown	hPa (inHg)	None
02F	December 3– 7	Unknown	hPa (inHg)	None
03F	December 10– 11	Unknown	hPa (inHg)	None
04F	January 4– 14	Unknown	hPa (inHg)	None
05F	January 11– 14	Unknown	hPa (inHg)	None
06F	January 19– 23	Unknown	hPa (inHg)	None
07F	January 23– 25	Unknown	hPa (inHg)	None
Hettie	January 24– 31	km/h (mph)	hPa (inHg)	None
09F	February 1– 5	55km/h (35mph)	hPa (inHg)	Unknown
Innis	February 13– 18	75km/h (45mph)	hPa (inHg)	1
Joni	March 10– 14	95km/h (60mph)	hPa (inHg)	Unknown
Ken	March 16– 19	95km/h (60mph)	hPa (inHg)	None
Jasper	March 24– 30	100km/h (60mph)	hPa (inHg)	None
Lin	March 31– April 7	110km/h (70mph)	hPa (inHg)	None
15F	April 7– 10	35km/h (25mph)	hPa (inHg)	None
Season Aggregates	Season Aggregates	Season Aggregates	Season Aggregates	Season Aggregates
15systems	December 1– April 10	110km/h (70mph)	975hPa (28.81inHg)	None
