Year	Division	League	Reg. Season	Playoffs	Avg. Attendance
1981/82	Western	MISL	6th	Did not qualify	11,058
1982/83	Western	MISL	3rd	1st Round	14,692
1983/84	Western	MISL	4th	1st Round	15,786
1984/85	Western	MISL	4th	Quarterfinals	12,917
1985/86	Western	MISL	5th	Did not qualify	12,428
1986/87	Western	MISL	2nd	Division Semifinals	12,447
1987/88	Western	MISL	3rd	Division Finals	11,211
1988/89	N/A	MISL	7th	Did not qualify	9,228
1989/90	Eastern	MISL	2nd	Division Finals	10,475
1990/91	Eastern	MSL	2nd	Division Finals	7,103
