Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Porsche System Engineering	Porsche	787 718/2	Porsche 547/6 1.5 F4	D	Jo Bonnier	All
Porsche System Engineering	Porsche	787 718/2	Porsche 547/6 1.5 F4	D	Dan Gurney	All
Porsche System Engineering	Porsche	787 718/2	Porsche 547/6 1.5 F4	D	Hans Herrmann	1, 6
Scuderia Colonia	Lotus - Climax	18	Climax FPF 1.5 L4	D	Michael May	1, 4, 6
Scuderia Colonia	Lotus - Climax	18	Climax FPF 1.5 L4	D	Wolfgang Seidel	3, 5–7
Equipe Nationale Belge	Emeryson - Maserati	61	Maserati 6-1500 1.5 L4	D	Lucien Bianchi	1
Equipe Nationale Belge	Emeryson - Maserati	61	Maserati 6-1500 1.5 L4	D	Olivier Gendebien	1
Equipe Nationale Belge	Lotus - Climax	18	Climax FPF 1.5 L4	D	Lucien Bianchi	3
Equipe Nationale Belge	Lotus - Climax	18	Climax FPF 1.5 L4	D	Willy Mairesse	3
Equipe Nationale Belge	Emeryson - Climax	61	Climax FPF 1.5 L4	D	André Pilette	7
Camoradi International	Cooper - Climax	T53	Climax FPF 1.5 L4	D	Masten Gregory	1–5
Camoradi International	Cooper - Climax	T53	Climax FPF 1.5 L4	D	Ian Burgess	6
Camoradi International	Lotus - Climax	18	Climax FPF 1.5 L4	D	Ian Burgess	2–5
Owen Racing Organisation	BRM - Climax	P48/57	Climax FPF 1.5 L4	D	Tony Brooks	All
Owen Racing Organisation	BRM - Climax	P48/57	Climax FPF 1.5 L4	D	Graham Hill	All
R.R.C. Walker Racing Team	Lotus - Climax	18 18/21 21	Climax FPF 1.5 L4	D	Stirling Moss	All
R.R.C. Walker Racing Team	Ferguson - Climax	P99	Climax FPF 1.5 L4	D	Stirling Moss	5
R.R.C. Walker Racing Team	Ferguson - Climax	P99	Climax FPF 1.5 L4	D	Jack Fairman	5
Yeoman Credit Racing Team	Cooper - Climax	T53	Climax FPF 1.5 L4	D	John Surtees	All
Yeoman Credit Racing Team	Cooper - Climax	T53	Climax FPF 1.5 L4	D	Roy Salvadori	4–8
Cooper Car Company	Cooper - Climax	T55 T58	Climax FPF 1.5 L4 Climax FWMV 1.5 V8	D	Jack Brabham	All
Cooper Car Company	Cooper - Climax	T55 T58	Climax FPF 1.5 L4 Climax FWMV 1.5 V8	D	Bruce McLaren	All
Team Lotus	Lotus - Climax	21 18 18/21	Climax FPF 1.5 L4	D	Jim Clark	All
Team Lotus	Lotus - Climax	21 18 18/21	Climax FPF 1.5 L4	D	Innes Ireland	1, 3–8
Team Lotus	Lotus - Climax	21 18 18/21	Climax FPF 1.5 L4	D	Trevor Taylor	2
Team Lotus	Lotus - Climax	21 18 18/21	Climax FPF 1.5 L4	D	Willy Mairesse	4
UDT Laystall Racing Team	Lotus - Climax	18 18/21	Climax FPF 1.5 L4	D	Cliff Allison	1, 3
UDT Laystall Racing Team	Lotus - Climax	18 18/21	Climax FPF 1.5 L4	D	Henry Taylor	1, 3–5, 7
UDT Laystall Racing Team	Lotus - Climax	18 18/21	Climax FPF 1.5 L4	D	Lucien Bianchi	4–5
UDT Laystall Racing Team	Lotus - Climax	18 18/21	Climax FPF 1.5 L4	D	Juan Manuel Bordeu	4
UDT Laystall Racing Team	Lotus - Climax	18 18/21	Climax FPF 1.5 L4	D	Masten Gregory	7–8
Scuderia Ferrari SpA SEFAC	Ferrari	156	Ferrari 178 1.5 V6	D	Richie Ginther	1–7
Scuderia Ferrari SpA SEFAC	Ferrari	156	Ferrari 178 1.5 V6	D	Phil Hill	1–7
Scuderia Ferrari SpA SEFAC	Ferrari	156	Ferrari 178 1.5 V6	D	Wolfgang von Trips	1–7
Scuderia Ferrari SpA SEFAC	Ferrari	156	Ferrari 178 1.5 V6	D	Olivier Gendebien	3
Scuderia Ferrari SpA SEFAC	Ferrari	156	Ferrari 178 1.5 V6	D	Willy Mairesse	6
Scuderia Ferrari SpA SEFAC	Ferrari	156	Ferrari 178 1.5 V6	D	Ricardo Rodríguez	7
Scuderia Serenissima	Cooper - Maserati	T51	Maserati 6-1500 1.5 L4	D	Maurice Trintignant	1, 3–4, 6–7
Scuderia Serenissima	De Tomaso - OSCA	F1	OSCA 372 1.5 L4	D	Giorgio Scarlatti	4
Scuderia Serenissima	De Tomaso - Alfa Romeo	F1	Alfa Romeo Giulietta 1.5 L4	D	Nino Vaccarella	7
Ecurie Maarsbergen	Porsche	718	Porsche 547/3 1.5 F4	D	Carel Godin de Beaufort	2–7
Ecurie Maarsbergen	Porsche	718	Porsche 547/3 1.5 F4	D	Hans Herrmann	2
H&L Motors	Cooper - Climax	T53	Climax FPF 1.5 L4	D	Jackie Lewis	3–7
Tony Marsh	Lotus - Climax	18	Climax FPF 1.5 L4	D	Tony Marsh	3, 5–6
Scuderia Centro Sud	Cooper - Maserati	T53 T51	Maserati 6-1500 1.5 L4	D	Lorenzo Bandini	3, 5–7
Scuderia Centro Sud	Cooper - Maserati	T53 T51	Maserati 6-1500 1.5 L4	D	Massimo Natili	5, 7
Bernard Collomb	Cooper - Climax	T53	Climax FPF 1.5 L4	D	Bernard Collomb	4, 6
