Name	Pos.	Height	Weight	Date of Birth	Club
Alexander Tchigir	GK	m (ft 3in)	kg (lb)	1968-11-06	Spandau 04
Michael Zellmer	GK	m (ft 3in)	kg (lb)	1977-08-14	Waspo Hannover
Fabian Schroedter	CB	m (ft 8in)	kg (lb)	1982-09-11	Spandau 04
Patrick Weissinger	CB	m (ft 4in)	kg (lb)	1973-04-02	Spandau 04
Steffen Dierolf	D	m (ft 4in)	kg (lb)	1976-05-05	SV Cannstatt
Marc Torsten Politze	CF	m (ft 5in)	kg (lb)	1977-10-20	Spandau 04
Tim Wollthan	CB	m (ft 4in)	kg (lb)	1980-04-29	SV Bayer Uerdingen 08
Thomas Schertwitis	CF	m (ft 6in)	kg (lb)	1972-09-02	Spandau 04
Tobias Kreuzmann	D	m (ft 5in)	kg (lb)	1981-06-15	ASC Duisburg
Heiko Nossek	D	m (ft 1in)	kg (lb)	1982-03-14	SV Cannstatt
Lukasz Kieloch	D	m (ft 4in)	kg (lb)	1976-03-15	SV Cannstatt
Soeren Mackeben	D	m (ft 4in)	kg (lb)	1979-01-29	Spandau 04
Jens Pohlmann	D	m (ft 11in)	kg (lb)	1978-10-30	Spandau 04
Head Coach: Hagen Stamm	Head Coach: Hagen Stamm	Head Coach: Hagen Stamm	Head Coach: Hagen Stamm	Head Coach: Hagen Stamm	Head Coach: Hagen Stamm
