Date	Visitor	Score	Home	Record	Attendance
September 29	Chicago Cardinals	20-10	San Francisco 49ers	0-1-0	35,743
October 6	Los Angeles Rams	23-20	San Francisco 49ers	1-1-0	59,637
October 13	San Francisco 49ers	21-17	Chicago Bears	2-1-0	45,310
October 20	San Francisco 49ers	24-14	Green Bay Packers	3-1-0	18,919
October 27	Chicago Bears	21-17	San Francisco 49ers	4-1-0	56,693
November 3	Detroit Lions	35-31	San Francisco 49ers	5-1-0	59,702
November 10	San Francisco 49ers	37-24	Los Angeles Rams	5-2-0	102,368
November 17	San Francisco 49ers	31-10	Detroit Lions	5-3-0	56,915
November 24	San Francisco 49ers	27-21	Baltimore Colts	5-4-0	50,073
December 1	San Francisco 49ers	27-17	New York Giants	6-4-0	54,121
December 8	Baltimore Colts	17-13	San Francisco 49ers	7-4-0	59,950
December 15	Green Bay Packers	27-20	San Francisco 49ers	8-4-0	59,100
