Club	Nickname	Years competed	Home Ground	Premierships
Churchill	Kangaroos	1984-1994	Gaskin Park, Churchill	(0)
Garfield Football Club	Stars	2002-2009	Garfield Recreation Reserve Beswick St	(7)1963-64, 1966, 1983, 1993, 1994, 2004 (WGFL)
Heyfield	Kangaroos	1960-1974	Gordon St Rec Reserve	(0)
Newborough	Bulldogs	1979-1985	Newborough Rec Reserve Soutwell St	(0)
Stratford	Swans	1961-1964	Stratford Rec Reserve Wellsford St	(0)
Trafalgar	Bloods	1954-1968	Trafalgar Rec Reserve	(2) 1958, 1962
Traralgon Tyers United	The Two Blues	1983-1988	Tyers Rec Reserve Main Road	(0)
Yallourn	The Blues	1954-1976	Yallourn Rec Reserve	(0)
Yallourn Yallourn North	Bombers	1977-1985	Yallourn Rec Reserve	(0)
Yarragon	Panthers	1954-1960	Yarragon Football Ground Market St	(0)
