Frequency	Callsign	Brand	City of License	Website	Webcast
680	KKYX	Country Legends 680	San Antonio	kkyx.com	listen live
720	KSAH	Norteño 720	San Antonio	•	•
740	KTRH	Newsradio 740 KTRH	Houston	ktrh.com	listen live
760	KTKR	Ticket 760 AM	San Antonio	ticket760.com	listen live
990	XET	La T Grande	Monterrey	•	listen live
1030	KCTA	KCTA 1030 AM	Corpus Christi	kctaradio.com	listen live
1050	XEG	Ranchera de Monterrey	Monterrey	rancherademonterrey.com	listen live
1140	XEMR	MR Deportes	Monterrey	•	•
1200	WOAI	News Radio 1200	San Antonio	radio.woai.com	listen live
1210	KUBR	Radio Cristiana	San Juan	•	listen live
1530	KGBT	La Tremenda 1530	Harlingen	latremenda1530.com	•
