Candidate	Party	Election List	Governorate	Votes
Nouri al-Maliki	Islamic Da'awa Party	State of Law Coalition	Baghdad	622,961
Ayad Allawi	Iraqi National Accord	al-Iraqiyya	Baghdad	407,537
Usama al-Nujayfi	al-Hadba	al-Iraqiyya	Ninawa	274,741
Tariq al-Hashemi	Renewal List	al-Iraqiyya	Baghdad	200,963
Ibrahim al-Jaafari	National Reform Trend	National Iraqi Alliance	Baghdad	101,053
Nawshirwan Mustafa	Gorran Movement	Gorran List	Silemani	93,196
Rafi al-Issawi	National Future Gathering	al-Iraqiyya	al-Anbar	83,145
Baqir Jabr al-Zubeidi	Islamic Supreme Council of Iraq	National Iraqi Alliance	Baghdad	68,822
Khalid Shwani	Patriotic Union of Kurdistan	Kurdistani List	Kerkuk	68,522
Arshad al-Salihi	Iraqi Turkmen Front	al-Iraqiyya	Kerkuk	59,732
Ali Bapir	Islamic Group of Kurdistan	IGK List	Hewler	50,116
