Week	Date	Opponent	Result	Attendance
1	September 12, 1964	Houston Oilers	W 27–21	22,632
2	September 20, 1964	Boston Patriots	L 33–28	20,568
3	September 26, 1964	at Buffalo Bills	L 30–3	40,167
4	October 3, 1964	New York Jets	T 17–17	47,746
5	October 9, 1964	at Boston Patriots	W 26–17	35,095
6	October 18, 1964	Denver Broncos	W 42–14	23,332
7	October 25, 1964	at Houston Oilers	W 20–17	21,671
8	November 1, 1964	Oakland Raiders	W 31–17	25,557
9	November 8, 1964	at Denver Broncos	W 31–20	19,670
10	November 15, 1964	at Kansas City Chiefs	W 28–14	19,792
11	November 26, 1964	Buffalo Bills	L 27–24	31,860
12	December 6, 1964	New York Jets	W 38–3	25,753
13	December 13, 1964	Kansas City Chiefs	L 49–6	26,562
14	December 20, 1964	at Oakland Raiders	L 21–20	20,124
