Date	Opponent	Score	Loss	Attendance
August 1	@ Atlanta	6-5	Glavine (8-9)	34,203
August 3	@ Milwaukee	12-3	Capuano (5-6)	22,306
August 4	@ Milwaukee	6-5	Adams (1-1)	18,196
August 5	@ Milwaukee	11-6	Santos (9-7)	32,225
August 6	@ St. Louis	6-4	Glavine (8-10)	43,949
August 7	@ St. Louis	2-1	Stanton (0-5)	45,364
August 8	@ St. Louis	6-2	Leiter (8-4)	43,578
August 10	Houston	7-3	Munro (2-4)	28,472
August 11	Houston	5-4	Looper (2-3)	32,060
August 12	Houston	2-1	Weathers (6-7)	26,419
August 13	Arizona	10-6	Fossum (2-12)	22,124
August 14	Arizona	4-3	Gonzalez (0-6)	37,599
August 15	Arizona	2-0	Trachsel (10-9)	36,590
August 17	@ Colorado	6-4	Wheeler (3-1)	34,387
August 18	@ Colorado	POSTPONED	POSTPONED	POSTPONED
August 19	@ Colorado	10-3	Estes (13-5)	30,827
August 19	@ Colorado	4-2	Reed (3-3)	29,918
August 20	@ San Francisco	7-3	Trachsel (10-10)	42,211
August 21	@ San Francisco	11-9	Correia (0-1)	42,418
August 22	@ San Francisco	3-1	Ginter (1-3)	42,359
August 23	San Diego	9-4	Heilman (0-1)	25,475
August 24	San Diego	3-1	Benson (10-10)	25,558
August 25	San Diego	4-0	Leiter (9-5)	28,067
August 26	San Diego	10-3	Trachsel (10-11)	27,621
August 27	LA Dodgers	9-2	Alvarez (7-5)	42,694
August 28	LA Dodgers	4-2	Stanton (2-6)	40,660
August 29	LA Dodgers	10-2	Benson (10-11)	33,582
August 30	Florida	6-4	Bell (0-1)	16,468
August 31	Florida	5-0	Trachsel (10-12)	17,770
