Week	Date	Opponent	Result	Attendance
1	September 11, 1966	Cleveland Browns	L 38-14	48,643
2	September 18, 1966	at St. Louis Cardinals	L 23-7	40,198
3	September 25, 1966	at Pittsburgh Steelers	W 33-27	37,505
4	October 2, 1966	Pittsburgh Steelers	W 24-10	47,360
5	October 9, 1966	Atlanta Falcons	W 33-20	50,116
6	October 16, 1966	at New York Giants	L 13-10	62,865
7	October 23, 1966	St. Louis Cardinals	W 26-20	50,154
8	October 30, 1966	at Philadelphia Eagles	W 27-13	60,658
9	November 6, 1966	at Baltimore Colts	L 37-10	60,238
10	November 13, 1966	Dallas Cowboys	L 31-30	50,927
11	November 20, 1966	at Cleveland Browns	L 14-3	78,466
12	November 27, 1966	New York Giants	W 72-41	50,439
13	Bye	Bye	Bye	Bye
14	December 11, 1966	at Dallas Cowboys	W 34-31	64,198
15	December 18, 1966	Philadelphia Eagles	L 37-28	50,405
