Draw	Language	Artist	Song	Place	Points
01	Icelandic	Beathoven	" Þú og þeir (Sókrates) "	16	20
02	Swedish	Tommy Körberg	" Stad i ljus "	12	52
03	Finnish	Boulevard	" Nauravat silmät muistetaan "	20	3
04	English	Scott Fitzgerald	" Go "	2	136
05	Turkish	MFÖ	" Sufi "	15	37
06	Spanish	La Década Prodigiosa	" La chica que yo quiero (Made in Spain) "	11	58
07	Dutch	Gerard Joling	" Shangri-La "	9	70
08	Hebrew	Yardena Arazi	" Ben Adam " (בן אדם)	7	85
09	French	Céline Dion	" Ne partez pas sans moi "	1	137
10	English	Jump The Gun	" Take Him Home "	8	79
11	German	Maxi & Chris Garden	" Lied für einen Freund "	14	48
12	German	Wilfried	" Lisa Mona Lisa "	21	0
13	Danish	Hot Eyes	" Ka' du se hva' jeg sa'? "	3	92
14	Greek	Afroditi Frida	" Clown " (Κλόουν)	17	10
15	Norwegian	Karoline Krüger	" For vår jord "	5	88
16	French	Reynaert	" Laissez briller le soleil "	18	5
17	French	Lara Fabian	" Croire "	4	90
18	Italian	Luca Barbarossa	" Vivo (Ti scrivo) "	12	52
19	French	Gérard Lenorman	" Chanteur de charme "	10	64
20	Portuguese	Dora	" Voltarei "	18	5
21	Croatian	Srebrna Krila	" Mangup "	6	87
