Publication	Country	Accolade	Year	Rank
Rhapsody	US	100 Best Albums of the Decade	2009	#17
Rhapsody	US	Alt/Indie's Best Albums of the Decade	2009	#8
Mojo	UK	Top 50 Albums of 2008	2008	#4
Observer Music Monthly	UK	50 Albums of the Year	2008	#1
Paste	US	Signs of Life 2008: Best Music	2008	#4
Pazz & Jop	US	Album Winners	2008	#8
Pitchfork Media	US	Top 50 Albums of 2007	2007	#29
Pitchfork Media	US	Top 200 Albums of The 2000s	2009	#29
Q	UK	50 Best Albums of the Year	2008	#34
Rolling Stone	US	Albums of the 2000s	2008	#92
The Skinny	UK	Top Ten Albums of 2008	2008	#2
Spin	US	The 40 Best Albums of 2008	2008	#31
Uncut	UK	Top 50 Albums of 2008	2008	#4
New Musical Express	UK	Top 50 Albums of 2008	2008	#24
Rough Trade	UK	Top 50 Albums of 2008	2008	#1
Rockfeedback	UK	Top 100 Albums of 2008	2008	#4
Under the Radar	US	Top 50 Albums of 2008	2008	#19
New Musical Express	UK	The Top 100 Greatest Albums of the Decade	2009	#87
