Round	Choice	Overall	Player name	Position	College
1	3	3	Jim Dunaway	Defensive Tackle	Mississippi
2	2	16	Bobby Bell	Defensive Tackle	Minnesota
3	3	31	Ray Poage	Running Back	Texas
4	2	44	Paul Flatley	Wide Receiver	Northwestern
5	3	59	Gary Kaltenbach	Offensive Tackle	Pittsburgh
6	2	72	Traded to the Cleveland Browns	Traded to the Cleveland Browns	Traded to the Cleveland Browns
7	3	87	Traded to the New York Giants	Traded to the New York Giants	Traded to the New York Giants
8	2	100	Jim O'Mahoney	Linebacker	Miami ( Florida )
9	3	115	Bob Hoover	Running Back	Florida
10	2	128	Terry Kosens	Running Back	Hofstra
11	3	143	John Campbell	Linebacker	Minnesota
12	2	156	John Sklopan	Running Back	Southern Mississippi
13	3	171	Dave O'Brien	Offensive Tackle	Boston College
14	2	184	Ralph Ferrisi	Running Back	Southern Connecticut State
15	3	199	John Murio	End	Whitworth
16	2	212	Rex Mirich	Offensive Tackle	Northern Arizona
17	3	227	Tom Munsey	Running Back	Concord
18	2	240	Tom McIntyre	Offensive Tackle	St. John's ( Minnesota )
19	3	255	Frank Horvath	Running Back	Youngstown State
