Pos.	Driver	Constructor	Part 1	Grid
1	Lewis Hamilton	McLaren - Mercedes	1:12.563	1
2	Fernando Alonso	McLaren - Mercedes	1:12.416	2
3	Felipe Massa	Ferrari	1:12.731	3
4	Kimi Räikkönen	Ferrari	1:12.732	4
5	Nick Heidfeld	BMW Sauber	1:12.543	5
6	Heikki Kovalainen	Renault	1:12.998	6
7	Sebastian Vettel	BMW Sauber	1:12.711	7
8	Jarno Trulli	Toyota	1:13.186	8
9	Mark Webber	Red Bull - Renault	1:13.425	9
10	Giancarlo Fisichella	Renault	1:13.168	10
11	David Coulthard	Red Bull - Renault	1:13.424	11
12	Ralf Schumacher	Toyota	1:12.851	12
13	Jenson Button	Honda	1:13.306	13
14	Nico Rosberg	Williams - Toyota	1:13.128	14
15	Rubens Barrichello	Honda	1:13.203	15
16	Anthony Davidson	Super Aguri - Honda	1:13.164	16
17	Alexander Wurz	Williams - Toyota	1:13.441	17
18	Takuma Sato	Super Aguri - Honda	1:13.477	18
19	Vitantonio Liuzzi	Toro Rosso - Ferrari	1:13.484	19
20	Scott Speed	Toro Rosso - Ferrari	1:13.712	20
21	Adrian Sutil	Spyker - Ferrari	1:14.122	21
22	Christijan Albers	Spyker - Ferrari	1:14.597	22
Source:	Source:	Source:	Source:	Source:
