District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) Unopposed
Texas 3	Lindley Beckworth	Democratic	1956	Re-elected	Lindley Beckworth (D) Unopposed
Texas 4	Sam Rayburn	Democratic	1912	Re-elected	Sam Rayburn (D) Unopposed
Texas 5	Bruce R. Alger	Republican	1954	Re-elected	Bruce R. Alger (R) 57.3% Joe Pool (D) 42.7%
Texas 6	Olin E. Teague	Democratic	1946	Re-elected	Olin E. Teague (D) Unopposed
Texas 7	John Dowdy	Democratic	1952	Re-elected	John Dowdy (D) Unopposed
Texas 11	William R. Poage	Democratic	1936	Re-elected	William R. Poage (D) Unopposed
Texas 12	Jim Wright	Democratic	1954	Re-elected	Jim Wright (D) Unopposed
Texas 13	Frank N. Ikard	Democratic	1951	Re-elected	Frank N. Ikard (D) Unopposed
Texas 14	John Andrew Young	Democratic	1956	Re-elected	John Andrew Young (D) Unopposed
Texas 15	Joe M. Kilgore	Democratic	1954	Re-elected	Joe M. Kilgore (D) Unopposed
Texas 18	Walter E. Rogers	Democratic	1950	Re-elected	Walter E. Rogers (D) Unopposed
Texas 20	Paul J. Kilday	Democratic	1938	Re-elected	Paul J. Kilday (D) Unopposed
