Name	Years	Gender	Area	Authority	Decile
Birchville School	1–6	Coed	Birchville	State	6
Fergusson Intermediate	7–8	Coed	Trentham	State	6
Fraser Crescent School	1–6	Coed	Upper Hutt	State	5
Heretaunga College	9–13	Coed	Upper Hutt	State	6
Hutt International Boys' School	7–13	Boys	Trentham	Integrated	10
Maidstone Intermediate	7–8	Coed	Upper Hutt	State	7
Mangaroa School	1–6	Coed	Upper Hutt	State	10
Maoribank School	1–6	Coed	Maoribank	State	4
Oxford Crescent School	1–6	Coed	Upper Hutt	State	6
Pinehaven School	1–6	Coed	Pinehaven	State	10
Plateau School	1–6	Coed	Te Marua	State	9
Silverstream Christian School	1–13	Coed	Silverstream	Private	n/a
Silverstream School	1–6	Coed	Silverstream	State	10
St Brendan's School	1–8	Coed	Heretaunga	Integrated	8
St Joseph's School	1–8	Coed	Upper Hutt	Integrated	7
St. Patrick's College	9–13	Boys	Silverstream	Integrated	9
Titiro Whakamua	–	–	Trentham	State	1
Totara Park School	1–6	Coed	Totara Park	State	7
Trentham School	1–6	Coed	Trentham	State	4
Upper Hutt College	9–15	Coed	Trentham	State	7
Upper Hutt Primary School	1–6	Coed	Upper Hutt	State	6
Upper Valley Middle School	7–10	Coed	Upper Hutt	Private	n/a
