Game	January	Opponent	Score	Record
35	1	@ Boston Bruins	5 - 3	11-17-7
36	5	Chicago Black Hawks	4 - 1	12-17-7
37	6	Montreal Canadiens	3 - 2	12-18-7
38	9	Toronto Maple Leafs	4 - 3	12-19-7
39	11	@ Chicago Black Hawks	7 - 4	13-19-7
40	12	@ Detroit Red Wings	5 - 4	14-19-7
41	13	Detroit Red Wings	3 - 2	14-20-7
42	19	@ Montreal Canadiens	5 - 0	14-21-7
43	20	@ Detroit Red Wings	5 - 2	14-22-7
44	23	@ Toronto Maple Leafs	4 - 4	14-22-8
45	26	@ Boston Bruins	5 - 3	15-22-8
46	27	@ Chicago Black Hawks	3 - 2	16-22-8
47	30	Chicago Black Hawks	7 - 2	16-23-8
