Rank	Fastest time (s)	Wind (m/s)	Athlete	Nation	Date	Location
1	10.88	+2.0	Marlies Göhr	East Germany	1 July 1977	Dresden
2	10.89	+1.8	Katrin Krabbe	East Germany	20 July 1988	Berlin
3	11.03	+1.7	Silke Gladisch-Möller	East Germany	8 June 1983	Berlin
3	11.03	+0.6	English Gardner	United States	14 May 2011	Tucson
5	11.04	+1.4	Angela Williams	United States	5 June 1999	Boise
6	11.07	+0.7	Bianca Knight	United States	27 June 2008	Eugene
7	11.08	+2.0	Brenda Morehead	United States	21 June 1976	Eugene
8	11.11	+0.2	Shakedia Jones	United States	2 May 1998	Westwood
8	11.11	+1.1	Joan Uduak Ekah	Nigeria	2 July 1999	Lausanne
10	11.12	+2.0	Veronica Campbell-Brown	Jamaica	18 October 2000	Santiago
10	11.12	+1.2	Alexandria Anderson	United States	22 June 2006	Indianapolis
