Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Bruce McLaren Motor Racing	McLaren - Ford	M2B	Ford 406 3.0 V8	F	Bruce McLaren	1, 8–9
Bruce McLaren Motor Racing	McLaren - Serenissima	M2B	Serenissima 3.0 V8	F	Bruce McLaren	2, 4–5
Team Lotus	Lotus - Climax	33	Climax FWMV 2.0 V8	F	Jim Clark	1–6
Team Lotus	Lotus - Climax	33	Climax FWMV 2.0 V8	F	Pedro Rodríguez	3, 9
Team Lotus	Lotus - Climax	33	Climax FWMV 2.0 V8	F	Peter Arundell	8
Team Lotus	Lotus - Climax	33	Climax FWMV 2.0 V8	F	Geki	7
Team Lotus	Lotus - BRM	43 33	BRM P75 3.0 H16 BRM P56 2.0 V8	F	Peter Arundell	2–7, 9
Team Lotus	Lotus - BRM	43 33	BRM P75 3.0 H16 BRM P56 2.0 V8	F	Jim Clark	7–9
Team Lotus	Lotus - BRM	43 33	BRM P75 3.0 H16 BRM P56 2.0 V8	F	Pedro Rodríguez	8
Team Lotus	Lotus - Ford	44	Ford Cosworth SCA 1.0 L4	D	Gerhard Mitter	6
Team Lotus	Lotus - Ford	44	Ford Cosworth SCA 1.0 L4	D	Pedro Rodríguez	6
Team Lotus	Lotus - Ford	44	Ford Cosworth SCA 1.0 L4	D	Piers Courage	6
Reg Parnell Racing	Lotus - BRM	25	BRM P56 2.0 V8 BRM P60 1.9 V8	F	Mike Spence	All
Reg Parnell Racing	Ferrari	246	Ferrari 228 2.4 V6	F	Giancarlo Baghetti	7
Brabham Racing Organisation	Brabham - Repco	BT19 BT20	Repco 620 3.0 V8	G	Jack Brabham	All
Brabham Racing Organisation	Brabham - Repco	BT19 BT20	Repco 620 3.0 V8	G	Denny Hulme	3–9
Brabham Racing Organisation	Brabham - Climax	BT22	Climax FPF 2.8 L4	G	Denny Hulme	1–2
Brabham Racing Organisation	Brabham - Climax	BT22	Climax FPF 2.8 L4	G	Chris Irwin	4
Cooper Car Company	Cooper - Maserati	T81	Maserati 9/F1 3.0 V12	D	Richie Ginther	1–2
Cooper Car Company	Cooper - Maserati	T81	Maserati 9/F1 3.0 V12	D	Jochen Rindt	All
Cooper Car Company	Cooper - Maserati	T81	Maserati 9/F1 3.0 V12	D	Chris Amon	3
Cooper Car Company	Cooper - Maserati	T81	Maserati 9/F1 3.0 V12	D	John Surtees	3–9
Cooper Car Company	Cooper - Maserati	T81	Maserati 9/F1 3.0 V12	D	Moisés Solana	9
Owen Racing Organisation	BRM	P261 P83	BRM P60 2.0 V8 BRM P75 3.0 H16	D	Graham Hill	All
Owen Racing Organisation	BRM	P261 P83	BRM P60 2.0 V8 BRM P75 3.0 H16	D	Jackie Stewart	1–2, 4–9
R.R.C. Walker Racing Team	Brabham - BRM	BT11	BRM P60 2.0 V8	D	Jo Siffert	1
R.R.C. Walker Racing Team	Cooper - Maserati	T81	Maserati 9/F1 3.0 V12	D	Jo Siffert	2–5, 7–9
DW Racing Enterprises	Brabham - Climax	BT11	Climax FPF 2.8 L4	F	Bob Anderson	1, 3–7
Scuderia Ferrari SpA SEFAC	Ferrari	246 312	Ferrari 228 2.4 V6 Ferrari 218 3.0 V12	F ' D '	Lorenzo Bandini	1–3, 5–8
Scuderia Ferrari SpA SEFAC	Ferrari	246 312	Ferrari 228 2.4 V6 Ferrari 218 3.0 V12	F ' D '	John Surtees	1–2
Scuderia Ferrari SpA SEFAC	Ferrari	246 312	Ferrari 228 2.4 V6 Ferrari 218 3.0 V12	F ' D '	Mike Parkes	3, 5–7
Scuderia Ferrari SpA SEFAC	Ferrari	246 312	Ferrari 228 2.4 V6 Ferrari 218 3.0 V12	F ' D '	Ludovico Scarfiotti	6–7
Joakim Bonnier Racing Team	Cooper - Maserati	T81	Maserati 9/F1 3.0 V12	D F	Joakim Bonnier	1–2, 5–9
Joakim Bonnier Racing Team	Brabham - Climax	BT22 BT7	Climax FPF 2.8 L4 Climax FWMV 2.0 V8	D F	Joakim Bonnier	3–4
Team Chamaco Collect	BRM	P261	BRM P60 2.0 V8	G	Bob Bondurant	1–2, 4, 6–7
Team Chamaco Collect	BRM	P261	BRM P60 2.0 V8	G	Vic Wilson	2
Guy Ligier	Cooper - Maserati	T81	Maserati 9/F1 3.0 V12	D	Guy Ligier	1–6
Anglo American Racers	Eagle - Climax	Mk1	Climax FPF 2.8 L4	G	Dan Gurney	2–6, 9
Anglo American Racers	Eagle - Climax	Mk1	Climax FPF 2.8 L4	G	Phil Hill	7
Anglo American Racers	Eagle - Climax	Mk1	Climax FPF 2.8 L4	G	Bob Bondurant	8
Anglo American Racers	Eagle - Weslake	Mk1	Weslake 58 3.0 V12	G	Dan Gurney	7–8
Anglo American Racers	Eagle - Weslake	Mk1	Weslake 58 3.0 V12	G	Bob Bondurant	9
David Bridges	Brabham - BRM	BT11	BRM P60 2.0 V8	G	John Taylor	3–6
Shannon Racing Cars	Shannon - Climax	SH 1	Climax FPE 3.0 V8	D	Trevor Taylor	4
J.A. Pearce Engineering Ltd	Cooper - Ferrari	T73	Ferrari 218 3.0 V12	D	Chris Lawrence	4, 6
Caltex Racing Team	Brabham - Ford	BT18	Ford Cosworth SCA 1.0 L4	D	Kurt Ahrens, Jr.	6
Tyrrell Racing Organisation	Matra - BRM	MS5	BRM 1.0 L4	D	Hubert Hahne	6
Tyrrell Racing Organisation	Matra - Ford	MS5	Ford Cosworth SCA 1.0 L4	D	Jacky Ickx	6
Roy Winkelmann Racing	Brabham - Ford	BT18	Ford Cosworth SCA 1.0 L4	D	Hans Herrmann	6
Roy Winkelmann Racing	Brabham - Ford	BT18	Ford Cosworth SCA 1.0 L4	D	Alan Rees	6
