Date	Visitor	Score	Home	Decision	Attendance	Record
November 1	Columbus	1 – 2	Anaheim	Norrena	17,174	7–3–2
November 4	St. Louis	0 – 3	Columbus	Leclaire	13,254	8–3–2
November 7	Columbus	2 – 5	Chicago	Norrena	9,717	8–4–2
November 9	Columbus	1 – 4	Detroit	Leclaire	18,654	8–5–2
November 10	Columbus	3 – 4	Nashville	Norrena	15,947	8–5–3
November 12	Nashville	4 – 1	Columbus	Leclaire	12,554	8–6–3
November 14	Chicago	2 – 4	Columbus	Leclaire	13,622	9–6–3
November 16	Columbus	2 – 3	St. Louis	Norrena	19,150	9–7–3
November 18	Detroit	5 – 4	Columbus	Leclaire	15,503	9–7–4
November 21	Florida	5 – 2	Columbus	Leclaire	13,326	9–8–4
November 23	Columbus	4 – 0	Minnesota	Leclaire	18,568	10–8–4
November 24	Detroit	2 – 3	Columbus	Leclaire	17,513	11–8–4
November 26	Columbus	1 – 3	Edmonton	Norrena	16,839	11–9–4
November 29	Columbus	0 – 2	Vancouver	Norrena	18,630	11–10–4
