District	Headquarters	Area (km²)	Population (2011)	Division
Ajmer	Ajmer	8481	2584913	Ajmer
Alwar	Alwar	8380	3671999	Jaipur
Banswara	Banswara	5037	1798194	Udaipur
Baran	Baran	6955	1223921	Kota
Barmer	Barmer	28387	2604453	Jodhpur
Bharatpur	Bharatpur	5066	2549121	Bharatpur
Bhilwara	Bhilwara	10455	2410459	Ajmer
Bikaner	Bikaner	27244	2367745	Bikaner
Bundi	Bundi	5550	1113725	Kota
Chittorgarh	Chittorgarh	10856	1544392	Udaipur
Churu	Churu	16830	2041172	Bikaner
Dausa	Dausa	3432	1637226	Jaipur
Dholpur	Dholpur	3033	1207293	Bharatpur
Dungarpur	Dungarpur	3770	1388906	Udaipur
Hanumangarh	Hanumangarh	12645	1779650	Bikaner
Jaipur	Jaipur	14068	6663971	Jaipur
Jaisalmer	Jaisalmer	38401	672008	Jodhpur
Jalor	Jalore	10640	1830151	Jodhpur
Jhalawar	Jhalawar	6219	1411327	Kota
Jhunjhunu	Jhunjhunu	5928	2139658	Jaipur
Jodhpur	Jodhpur	22850	3685681	Jodhpur
Karauli	Karauli	5530	1458459	Bharatpur
Kota	Kota	5446	1950491	Kota
Nagaur	Nagaur	17718	3309234	Ajmer
Pali	Pali	12387	2038533	Jodhpur
Pratapgarh	Pratapgarh	4117	868231	Udaipur
Rajsamand	Rajsamand	4768	1158283	Udaipur
Sawai Madhopur	Sawai Madhopur	10527	1338114	Bharatpur
Sikar	Sikar	7732	2677737	Jaipur
Sirohi	Sirohi	5136	1037185	Jodhpur
Sri Ganganagar	Sri Ganganagar	7984	1969520	Bikaner
Tonk	Tonk	7194	1421711	Ajmer
Udaipur	Udaipur	13883	3067549	Udaipur
