Event	Record	Athlete	Nationality	Date
100 m	10.72 (-0.3m/s)	Shelly-Ann Fraser-Pryce	Jamaica	6 September 2013
200 m	21.64 (+0.8m/s)	Merlene Ottey	Jamaica	13 September 1991
400 m	48.83	Sanya Richards	United States	4 September 2009
800 m	1:55.16	Pamela Jelimo	Kenya	6 September 2008
1000 m	2:28.98	Svetlana Masterkova	Russia	23 August 1996
1500 m	3:55.33	Süreyya Ayhan	Turkey	5 September 2003
Mile	4:17.75	Maryam Yusuf Jamal	Bahrain	14 September 2007
2000 m	5:30.19	Gelete Burka	Ethiopia	4 September 2009
3000 m	8:24.81+	Meseret Defar	Ethiopia	14 September 2007
Two miles	8:58.58	Meseret Defar	Ethiopia	14 September 2007
5000 m	14:25.43	Vivian Cheruiyot	Kenya	6 September 2008
100 m hurdles	12.42 (-0.3m/s)	Yordanka Donkova	Bulgaria	5 September 1986
400 m hurdles	53.43	Nezha Bidouane	Morocco	28 August 1998
3000 m steeplechase	9:15.06	Milcah Chemos	Kenya	6 September 2013
High jump	2.05 m	Anna Chicherova	Russia	16 September 2011
Pole vault	4.93 m	Yelena Isinbayeva	Russia	26 August 2005
Long jump	7.25 m (+1.7m/s)	Heike Drechsler	Germany	13 September 1991
Triple jump	15.14 m (+0.3m/s)	Tatyana Lebedeva	Russia	5 September 2003
Shot put	20.57 m	Natalya Lisovskaya	Soviet Union	11 September 1987
Discus throw	69.84 m	Tsvetanka Christova	Bulgaria	5 September 1986
Javelin throw	72.18 m ( old design ) 67.76 m ( Current design )	Fatima Whitbread Trine Hattestad	United Kingdom Norway	5 September 1986 25 August 2000
4×100 m relay	42.97	United States	United States	19 August 1988
