Episode	Theme	Song choice	Original artist	Order #	Result
Audition	Auditioner's Choice	" Ain't No Sunshine "	Bill Withers	N/A	Advanced
Hollywood	First Solo	" One of Us "	Joan Osborne	N/A	Advanced
Hollywood	Group Performance	" Get Ready "	The Temptations	N/A	Advanced
Hollywood	Second Solo	" You Found Me "	The Fray	N/A	Advanced
Top 24 (12 Men)	Billboard Hot 100 Hits	" Chasing Cars "	Snow Patrol	7	Safe
Top 20 (10 Men)	Billboard Hot 100 Hits	" Lips of an Angel "	Hinder	10	Safe
Top 16 (8 Men)	Billboard Hot 100 Hits	" Fireflies "	Owl City	1	Safe
Top 12	The Rolling Stones	" Beast of Burden "	The Rolling Stones	9	Safe
Top 11	Billboard #1 Hits	" The Letter "	The Box Tops	1	Safe
Top 10	R&B / Soul	" Treat Her Like a Lady "	Cornelius Brothers & Sister Rose	8	Safe
Top 9	Lennon–McCartney	" Hey Jude "	The Beatles	9	Safe
Top 9	Elvis Presley	" A Little Less Conversation "	Elvis Presley	4	Safe
Top 7	Inspirational Songs	" The Boxer "	Simon & Garfunkel	2	Safe
Top 6	Shania Twain	" You're Still the One "	Shania Twain	1	Safe
Top 5	Frank Sinatra	" That's Life "	Frank Sinatra	5	Safe
Top 4	Songs of the Cinema	Solo " Kiss from a Rose " — Batman Forever	Seal	1	Safe
Top 3	Contestant's Choice	"Simple Man"	Lynyrd Skynyrd	3	Safe
Top 3	Judges' Choice	" Hallelujah "	Leonard Cohen	6	Safe
Top 2	Contestant's Choice	"The Boxer"	Simon & Garfunkel	1	Winner
Top 2	Simon Fuller 's Choice	" Everybody Hurts "	R.E.M.	3	Winner
