Year	Tournament Name	Champions	Runners-up	Score
1979	Grand Prix Passing Shot	Yannick Noah	Harold Solomon	6–0, 6–7, 6–1, 1–6, 6–4
1980	Grand Prix de Passing Shot	Mario Martinez	Gianni Ocleppo	6–0, 7–5, 7–5
1981	Grand Prix Passing Shot	Andrés Gómez	Thierry Tulasne	7–6, 7–6, 6–1
1982	Grand Prix Passing Shot	Hans Gildemeister	Pablo Arraya	7–5, 6–1
1983	Grand Prix Passing Shot	Pablo Arraya	Juan Aguilera	7–5, 7–5
1984	Grand Prix Passing Shot	José Higueras	Francesco Cancellotti	7–6, 6–1
1985	Nabisco Grand Prix Passing Shot	Diego Pérez	Jimmy Brown	6–4, 7–6
1986	Nabisco Grand Prix Passing Shot	Paolo Canè	Kent Carlsson	6–4, 1–6, 7–5
1987	Nabisco Grand Prix Passing Shot	Emilio Sánchez	Ronald Agénor	5–7, 6–4, 6–4
1988	NGP Passing Shot de Bordeaux	Thomas Muster	Ronald Agénor	6–3, 6–3
1989	Grand Prix Passing Shot de Bordeaux	Ivan Lendl	Emilio Sánchez	6–2, 6–2
1990	Grand Prix Passing Shot	Guy Forget	Goran Ivanišević	6–4, 6–3
1991	Grand Prix Passing Shot	Guy Forget	Olivier Delaître	6–1, 6–3
1992	Grand Prix Passing Shot	Andrei Medvedev	Sergi Bruguera	6–3, 1–6, 6–2
1993	Grand Prix Passing Shot Bordeaux	Sergi Bruguera	Diego Nargiso	7–5, 6–2
1994	Grand Prix Passing Shot	Wayne Ferreira	Jeff Tarango	6–0, 7–5
1995	Grand Prix Passing Shot Bordeaux	Yahiya Doumbia	Jakob Hlasek	6–4, 6–4
