Episode no.	US Airdate	US Total viewers	UK Airdate	UK Total viewers
1	1 January 2011	2,600,000	25 February 2011	190,000
2	1 January 2011	2,600,000	25 February 2011	190,000
3	1 January 2011	2,600,000	25 February 2011	190,000
4	1 January 2011	2,600,000	25 February 2011	190,000
5	1 January 2011	2,600,000	25 February 2011	190,000
6	2 January 2011	2,600,000	28 February 2011	108,000
7	2 January 2011	2,600,000	1 March 2011	93,000
8	2 January 2011	2,681,000	2 March 2011	74,000
9	2 January 2011	2,681,000	3 March 2011	130,000
10	10 January 2011	1,821,000	4 March 2011	79,000
11	10 January 2011	1,821,000	7 March 2011	115,000
12	11 January 2011	800,000	8 March 2011	123,000
13	11 January 2011	800,000	9 March 2011	123,000
14	12 January 2011	985,000	10 March 2011	174,000
15	12 January 2011	985,000	11 March 2011	112,000
16	13 January 2011	900,000	14 March 2011	N/A
17	13 January 2011	900,000	15 March 2011	129,000
18	14 January 2011	1,975,000	16 March 2011	164,000
19	14 January 2011	1,975,000	17 March 2011	152,000
20	18 January 2011	3,214,000	18 March 2011	121,000
21	18 January 2011	3,214,000	21 March 2011	117,000
22	N/A	N/A	22 March 2011	98,000
23	N/A	N/A	23 March 2011	160,000
24	N/A	N/A	24 March 2011	93,000
25	N/A	N/A	25 March 2011	133,000
26	N/A	N/A	28 March 2011	N/A
27	N/A	N/A	29 March 2011	N/A
28	N/A	N/A	30 March 2011	N/A
29	N/A	N/A	31 March 2011	N/A
30	N/A	N/A	1 April 2011	N/A
31	N/A	N/A	6 June 2011	135,000
32	N/A	N/A	6 June 2011	112,000
33	N/A	N/A	7 June 2011	92,000
34	N/A	N/A	7 June 2011	81,000
35	N/A	N/A	8 June 2011	N/A
36	N/A	N/A	8 June 2011	N/A
37	N/A	N/A	9 June 2011	111,000
38	N/A	N/A	9 June 2011	N/A
39	N/A	N/A	10 June 2011	104,000
40	N/A	N/A	10 June 2011	91,000
41	N/A	N/A	13 June 2011	99,000
42	N/A	N/A	13 June 2011	N/A
43	N/A	N/A	14 June 2011	144,000
44	N/A	N/A	14 June 2011	90,000
45	N/A	N/A	15 June 2011	98,000
46	N/A	N/A	15 June 2011	N/A
47	N/A	N/A	16 June 2011	147,000
48	N/A	N/A	16 June 2011	N/A
49	N/A	N/A	17 June 2011	97,000
50	N/A	N/A	17 June 2011	N/A
51	N/A	N/A	20 June 2011	111,000
52	N/A	N/A	20 June 2011	67,000
53	N/A	N/A	22 June 2011	177,000
54	N/A	N/A	23 June 2011	125,000
55	N/A	N/A	24 June 2011	N/A
