Name	Nationality	Position [A ]	Oxford United career [B ]	Appearances	Goals
John Aldridge Category:Articles with hCards	Ireland *	Forward	1984–1987	141	90
Chris Allen Category:Articles with hCards	England	Midfielder	1991–1996	181	17
Jack Ansell Category:Articles with hCards	England	Goalkeeper	1952–1955	149	0
Andre Arendse Category:Articles with hCards	South Africa *	Goalkeeper	1999–2000	19	0
Jon Ashton Category:Articles with hCards	England	Defender	2003–2006	103	1
Graham Atkinson Category:Articles with hCards	England	Forward	1959–1974	398	107
Ron Atkinson Category:Articles with hCards	England	Midfielder	1959–1971	560	21
Steve Aylott Category:Articles with hCards	England	Defender	1971–1975	167	9
Jim Barron Category:Articles with hCards	England	Goalkeeper	1966–1970	165	0
Steve Basham Category:Articles with hCards	England	Forward	2002–2007	187	49
Damian Batt Category:Articles with hCards	England	Defender	2009–2013	181	3
Joey Beauchamp Category:Articles with hCards	England	Midfielder	1989–1994 1995–2002	429	78
Cyril Beavon Category:Articles with hCards	England	Defender	1959–1969	464	11
Paul Berry Category:Articles with hCards	England	Midfielder	1977–1982	121	20
Andy Bodel Category:Articles with hCards	Scotland	Defender	1975–1980	141	11
Matthew Bound Category:Articles with hCards	England	Defender	2001–2004	111	2
Gary Briggs Category:Articles with hCards	England	Defender	1978–1989	508	22
Max Briggs Category:Articles with hCards	England	Midfielder	1974–1977	105	1
Kevin Brock Category:Articles with hCards	England	Midfielder	1979–1987	305	32
Roy Burton Category:Articles with hCards	England	Goalkeeper	1971–1982	447	0
Nigel Cassidy Category:Articles with hCards	England	Forward	1970–1974	135	34
Jeremy Charles Category:Articles with hCards	Wales *	Forward	1985–1986	56	16
Colin Clarke Category:Articles with hCards	Scotland	Defender	1966–1978	497	26
Derek Clarke Category:Articles with hCards	England	Forward	1970–1976	195	40
Ryan Clarke Category:Articles with hCards	England	Goalkeeper	2009–	187	0
James Constable Category:Articles with hCards	England	Forward	2008–	243	99
Jamie Cook Category:Articles with hCards	England	Forward	1997–2000 2009–2010	104	10
Bobby Craig Category:Articles with hCards	England	Defender	1951–1955	189	10
Johnnie Crichton Category:Articles with hCards	England	Defender	1951–1955	185	24
Andy Crosby Category:Articles with hCards	England	Defender	2001–2004	122	13
Hugh Curran Category:Articles with hCards	Scotland	Forward	1972–1978	121	43
Craig Davies Category:Articles with hCards	Wales *	Forward	2004–2006	55	8
Geoff Denial Category:Articles with hCards	England	Defender	1956–1962	194	51
Bobby McDonald Category:Articles with hCards	Scotland	Defender	1983–1987	125	21
Ben Duncan Category:Articles with hCards	England	Forward	1950–1955	187	30
Colin Duncan Category:Articles with hCards	England	Midfielder	1974–1980	207	7
John Durnin Category:Articles with hCards	England	Midfielder	1989–1993	180	47
Matt Elliott Category:Articles with hCards	Scotland	Defender	1993–1997	181	24
Ceri Evans Category:Articles with hCards	New Zealand *	Defender	1989–1993	130	3
John Evanson Category:Articles with hCards	England	Forward	1966–1974	179	11
Harry Fearnley Category:Articles with hCards	England	Goalkeeper	1963–1966	104	0
David Fogg Category:Articles with hCards	England	Defender	1976–1985	336	21
Peter Foley Category:Articles with hCards	England	Forward	1975–1983	321	90
Bobby Ford Category:Articles with hCards	England	Midfielder	1993–1997 2002–2003	190	12
Mike Ford Category:Articles with hCards	England	Defender	1988–1998 2000	339	22
Luke Foster Category:Articles with hCards	England	Defender	2007–2010	117	3
Steve Foster Category:Articles with hCards	England	Defender	1989–1992	113	12
Martin Foyle Category:Articles with hCards	England	Forward	1987–1991	151	44
Kevin Francis Category:Articles with hCards	Saint Kitts and Nevis *	Forward	1998–2000	35	7
Ray Gaston Category:Articles with hCards	Northern Ireland *	Forward	1968–1969	13	2
Phil Gilchrist Category:Articles with hCards	England	Defender	1995–1999 2006–2007	248	12
Martin Gray Category:Articles with hCards	England	Midfielder	1996–1999	134	4
Phil Gray Category:Articles with hCards	Northern Ireland *	Forward	2000–2002	48	13
Chris Hackett Category:Articles with hCards	England	Midfielder	2000–2006	142	9
Billy Hamilton Category:Articles with hCards	Northern Ireland *	Forward	1984–1987	41	20
Steve Hardwick Category:Articles with hCards	England	Goalkeeper	1983–1988	196	0
Tony Harper Category:Articles with hCards	England	Defender	1955–1959	136	6
Colin Harrington Category:Articles with hCards	England	Midfielder	1963–1971	260	30
Trevor Hebberd Category:Articles with hCards	England	Midfielder	1982–1988	326	43
Brian Houghton Category:Articles with hCards	England	Forward	1961–1963	114	75
Ray Houghton Category:Articles with hCards	Ireland *	Midfielder	1985–1987	105	14
