Title	Series	Director	Production Number	Release date
Don't Axe Me	MM	Robert McKimson	1469	1958-01-04
Tortilla Flaps	LT	Robert McKimson	1449	1958-01-18
Hare-Less Wolf	MM	Friz Freleng	1478	1958-02-01
A Pizza Tweety Pie	LT	Friz Freleng	1479	1958-02-22
Robin Hood Daffy	MM	Chuck Jones	1470	1958-03-08
Hare-Way to the Stars	LT	Chuck Jones	1464	1958-03-29
Whoa, Be-Gone!	MM	Chuck Jones	1477	1958-04-12
A Waggily Tale	LT	Friz Freleng	1486	1958-04-26
Feather Bluster	MM	Robert McKimson	1476	1958-05-10
Now Hare This	LT	Robert McKimson	1481	1958-05-31
To Itch His Own	MM	Chuck Jones	1485	1958-06-28
Dog Tales	LT	Robert McKimson	1484	1958-07-26
Knighty Knight Bugs	LT	Friz Freleng	1483	1958-08-23
Weasel While You Work	MM	Robert McKimson	1489	1958-09-06
A Bird in a Bonnet	MM	Friz Freleng	1490	1958-09-27
Hook, Line and Stinker	LT	Chuck Jones	1487	1958-10-11
Pre-Hysterical Hare	LT	Robert McKimson	1491	1958-11-01
Gopher Broke	LT	Robert McKimson	1497	1958-11-15
Hip Hip-Hurry!	MM	Chuck Jones	1515	1958-12-06
Cat Feud	MM	Chuck Jones	1474	1958-12-20
