Position	Driver	Points	Winnings	Series
1	Mark Martin	72	$225,000	NASCAR Winston Cup
2	Robby Gordon	63	$100,000	Indy Car
3	Randy LaJoie	58	$60,000	NASCAR Busch Series
4	Al Unser, Jr.	57	$50,000	Indy Car
5	Terry Labonte	43	$45,000	NASCAR Winston Cup
6	Jeff Gordon	39	$40,000	NASCAR Winston Cup
7	Dale Earnhardt	35	$40,000	NASCAR Winston Cup
8	Dale Jarrett	34	$40,000	NASCAR Winston Cup
9	Tommy Kendall	34	$40,000	SCCA Trans-Am Series
10	Jimmy Vasser	30	$40,000	Champcar
11	Darrell Waltrip	18	$40,000	NASCAR Winston Cup
