Release date	Peak chart position	First Week Sales	Copies sold	Album
August 21, 1992	69	2,940	21,710	Everything
December 1, 1992	56	3,490	60,790	Kind of Love
July 1, 1993	19	24,880	88,330	Versus
November 10, 1993	6	65,950	1,255,940	Atomic Heart
June 1, 1994	1	206,030	1,935,830	Atomic Heart
November 10, 1994	1	669,540	2,766,290	Bolero
December 12, 1994	1	369,670	1,240,040	Bolero
May 10, 1995	1	520,670	1,571,890	Bolero
August 10, 1995	1	561,750	1,811,790	Bolero
February 5, 1996	1	1,208,230	2,308,790	Shinkai
April 10, 1996	1	639,330	1,538,600	Shinkai
August 8, 1996	1	301,560	733,070	Shinkai
February 5, 1997	1	602,140	1,217,090	Bolero
February 11, 1998	1	361,370	663,730	Discovery
October 21, 1998	1	515,780	1,070,350	Discovery
January 13, 1999	1	327,650	455,770	Discovery
May 12, 1999	1	194,770	301,000	Discovery
January 13, 2000	1	327,590	724,070	Q
August 9, 2000	1	356,520	607,300	Q
August 21, 2001	1	250,610	477,810	It's a Wonderful World
November 7, 2001	1	352,730	699,270	It's a Wonderful World
January 1, 2002	1	305,500	513,280	It's a Wonderful World
July 10, 2002	1	257,670	509,262	Shifuku no Oto
December 11, 2002	1	315,358	552,848	Shifuku no Oto
November 19, 2003	1	286,982	651,696	Shifuku no Oto
May 26, 2004	1	370,451	773,990	I Love U
June 29, 2005	1	569,116	925,632	I Love U
July 5, 2006	1	254,024	419,805	Home
November 15, 2006	1	350,059	740,080	Home
January 24, 2007	1	280,877	320,628	Home
October 31, 2007	1	238,380	395,343	Supermarket Fantasy
July 30, 2008	1	194,144	340,132	Supermarket Fantasy
September 3, 2008	1	260,196	485,803	Supermarket Fantasy
April 18, 2012	1	174,409	275,296	［(An Imitation) Blood Orange］
