Game	December	Opponent	Score	Record
27	1	Montreal Canadiens	6 - 2	10-13-4
28	4	Philadelphia Flyers	1 - 1 OT	10-13-5
29	6	Toronto Maple Leafs	6 - 5	11-13-5
30	7	@ Toronto Maple Leafs	4 - 0	12-13-5
31	9	Phoenix Coyotes	5 - 2	13-13-5
32	11	New York Islanders	5 - 3	13-14-5
33	13	@ Buffalo Sabres	3 - 0	14-14-5
34	16	Hartford Whalers	5 - 2	15-14-5
35	18	Los Angeles Kings	4 - 0	16-14-5
36	21	@ Montreal Canadiens	3 - 2 OT	17-14-5
37	22	Florida Panthers	7 - 3	18-14-5
38	26	@ Ottawa Senators	5 - 2	18-15-5
39	27	Mighty Ducks of Anaheim	3 - 2	19-15-5
40	30	@ Dallas Stars	3 - 2	20-15-5
41	31	@ Tampa Bay Lightning	4 - 2	20-16-5
