Rider	Manufacturer	Laps	Time/Retired	Grid
Valentino Rossi	Honda	27	46:50.345	5
Max Biaggi	Honda	27	+6.333	3
Troy Bayliss	Ducati	27	+12.077	2
Tohru Ukawa	Honda	27	+16.186	4
Alex Barros	Yamaha	27	+18.630	15
Makoto Tamada	Honda	27	+24.153	12
John Hopkins	Suzuki	27	+30.959	7
Shinya Nakano	Yamaha	27	+31.218	13
Nobuatsu Aoki	Proton KR	27	+36.002	8
Olivier Jacque	Yamaha	27	+37.566	9
Noriyuki Haga	Aprilia	27	+43.753	18
Jeremy McWilliams	Proton KR	27	+43.894	14
Kenny Roberts, Jr.	Suzuki	27	+48.891	17
Colin Edwards	Aprilia	27	+52.128	11
Andrew Pitt	Kawasaki	27	+1:08.179	20
Alex Hofmann	Kawasaki	27	+1:08.372	21
Marco Melandri	Yamaha	27	+1:31.010	16
Garry McCoy	Kawasaki	26	+1 lap	22
Loris Capirossi	Ducati	12	Accident	1
Nicky Hayden	Honda	8	Accident	19
Sete Gibernau	Honda	6	Accident	6
Carlos Checa	Yamaha	3	Retirement	10
