Outcome	Date	Tournament	Surface	Opponent	Score
Winner	24 June 2007	Davos , Switzerland	Clay	Jessica Moore	6–4, 4–6, 6–3
Runner-up	19 August 2007	Pesaro , Italy	Clay	Polona Hercog	2–6, 6–2, 1–6
Runner-up	28 October 2007	Mexico City , Mexico	Hard	Olivia Sanchez	6–2, 2–6, 2–6
Runner-up	16 February 2008	Majora , Spain	Clay	Polona Hercog	6–4, 1–6, 3–6
Winner	4 May 2008	Makarska , Croatia	Clay	Anastasia Pivovarova	6–2, 6–3
Winner	29 May 2010	Velenje , Slovenia	Clay	Pavla Šmídová	6–1, 6–2
Winner	31 October 2010	Cairo , Egypt	Clay	Maša Zec Peškirič	6–1, 6–3
Runner-up	23 January 2011	Andrézieux-Bouthéon , France	Hard	Mona Barthel	3–6, 6–3, 4–6
Runner-up	10 July 2011	Aschaffenburg , Germany	Clay	Florencia Molinero	6–7 (6–8) , 1–6
Winner	11 September 2011	Alphen aan den Rijn , Netherlands	Clay	Katarzyna Piter	6–2, 6–4
Runner-up	18 September 2011	Rotterdam , Netherlands	Clay	Dinah Pfizenmaier	6–3, 1–6, 1–6
Runner-up	3 November 2012	Netanya , Israel	Hard	Anna Karolína Schmiedlová	6–0, 3–6, 4–6
Winner	10 March 2013	Sutton , United Kingdom	Hard (i)	Carina Witthöft	3–6, 6–4, 6–3
Winner	17 March 2013	Bath , United Kingdom	Hard (i)	An-Sophie Mestach	7–6 (7–3) , 6–3
Winner	13 July 2013	Biarritz , France	Clay	Anna Karolína Schmiedlová	1–6, 6–3, 6–2
Winner	15 September 2013	Podgorica , Montenegro	Clay	Anett Kontaveit	6–4, 6–3
