Week	Date	Opponent	Result	Record	Attendance
1	September 10, 1989	at New York Jets	W 27–24	1–0	64,541
2	September 17, 1989	Miami Dolphins	L 24–10	1–1	57,043
3	September 24, 1989	Seattle Seahawks	L 24–3	1–2	48,025
4	October 1, 1989	at Buffalo Bills	L 31–10	1–3	78,921
5	October 8, 1989	Houston Oilers	W 23–13	2–3	59,828
6	October 15, 1989	at Atlanta Falcons	L 16–15	2–4	39,697
7	October 22, 1989	at San Francisco 49ers	L 37–20	2–5	51,781
8	October 29, 1989	at Indianapolis Colts	W 23–20	3–5	59,356
9	November 5, 1989	New York Jets	L 27–26	3–6	53,366
10	November 12, 1989	New Orleans Saints	L 28–24	3–7	47,680
11	November 19, 1989	Buffalo Bills	W 33–24	4–7	49,663
12	November 26, 1989	at Los Angeles Raiders	L 24–21	4–8	38,747
13	December 3, 1989	Indianapolis Colts	W 22–16	5–8	32,234
14	December 10, 1989	at Miami Dolphins	L 31–10	5–9	55,918
15	December 17, 1989	at Pittsburgh Steelers	L 28–10	5–10	26,594
16	December 24, 1989	Los Angeles Rams	L 24–20	5–11	27,940
