Driver	Constructor	Laps	Time/Retired	Grid
Jochen Mass	McLaren - Ford	29	42:53.7	11
Jacky Ickx	Lotus - Ford	29	+ 1.1	16
Carlos Reutemann	Brabham - Ford	28	+ 1 Lap	15
Jean-Pierre Jarier	Shadow - Ford	28	+ 1 Lap	10
Vittorio Brambilla	March - Ford	28	+ 1 Lap	5
Lella Lombardi	March - Ford	27	+ 2 Laps	24
Tony Brise	Williams - Ford	27	+ 2 Laps	18
John Watson	Surtees - Ford	26	+ 3 Laps	6
Clay Regazzoni	Ferrari	25	Not Classified	2
Rolf Stommelen	Hill - Ford	25	Collision	9
Carlos Pace	Brabham - Ford	25	Collision	14
Tom Pryce	Shadow - Ford	23	Accident	8
Ronnie Peterson	Lotus - Ford	23	Suspension	12
Roelof Wunderink	Ensign - Ford	20	Transmission	19
François Migault	Hill - Ford	18	Not Classified	22
Mario Andretti	Parnelli - Ford	16	Suspension	4
Bob Evans	BRM	7	Fuel System	23
James Hunt	Hesketh - Ford	6	Accident	3
Jody Scheckter	Tyrrell - Ford	3	Engine	13
Mark Donohue	Penske - Ford	3	Collision	17
Alan Jones	Hesketh - Ford	3	Collision	20
Patrick Depailler	Tyrrell - Ford	1	Collision damage	7
Wilson Fittipaldi	Fittipaldi - Ford	1	Withdrew	21
Arturo Merzario	Williams - Ford	1	Withdrew	25
Niki Lauda	Ferrari	0	Collision	1
Emerson Fittipaldi	McLaren - Ford	0	Non starter	26
