Year	Event	Pole position time	107% time	Driver	Team	Time	% of pole	Allowed to race?
1996	Australian Grand Prix	1:32.371	1:38.837	Luca Badoer	Forti	1:39.202	107.395	No
1996	Australian Grand Prix	1:32.371	1:38.837	Andrea Montermini	Forti	1:42.087	110.518	No
1996	European Grand Prix	1:18.941	1:24.467	Andrea Montermini	Forti	1:25.053	107.742	No
1996	European Grand Prix	1:18.941	1:24.467	Luca Badoer	Forti	1:25.840	108.739	No
1996	San Marino Grand Prix	1:26.890	1:32.972	Andrea Montermini	Forti	1:33.685	107.802	No
1996	Spanish Grand Prix	1:20.650	1:26.295	Luca Badoer	Forti	1:26.615	107.396	No
1996	Spanish Grand Prix	1:20.650	1:26.295	Andrea Montermini	Forti	1:27.358	108.317	No
1996	British Grand Prix	1:26.875	1:32.956	Andrea Montermini	Forti	1:35.206	109.590	No
1996	British Grand Prix	1:26.875	1:32.956	Luca Badoer	Forti	1:35.304	109.702	No
1996	German Grand Prix	1:43.912	1:51.186	Giovanni Lavaggi	Minardi	1:51.357	107.165	No
1996	Belgian Grand Prix	1:50.574	1:58.314	Giovanni Lavaggi	Minardi	1:58.579	107.239	No
1996	Japanese Grand Prix	1:38.909	1:45.833	Giovanni Lavaggi	Minardi	1:46.795	107.973	No
1997	Australian Grand Prix	1:29.369	1:35.625	Pedro Diniz	Arrows	1:35.972	107.388	Yes
1997	Australian Grand Prix	1:29.369	1:35.625	Vincenzo Sospiri	MasterCard Lola	1:40.972	112.988	No
1997	Australian Grand Prix	1:29.369	1:35.625	Ricardo Rosset	MasterCard Lola	1:42.086	114.230	No
1998	Spanish Grand Prix	1:20.262	1:25.880	Ricardo Rosset	Tyrrell	1:25.946	107.082	No
1998	Monaco Grand Prix	1:19.798	1:25.383	Ricardo Rosset	Tyrrell	1:25.737	107.443	No
1998	Hungarian Grand Prix	1:16.973	1:22.361	Ricardo Rosset	Tyrrell	1:23.140	108.012	No
1998	Japanese Grand Prix	1:36.293	1:43.033	Ricardo Rosset	Tyrrell	1:43.259	107.234	No
1999	Australian Grand Prix	1:30.462	1:36.794	Marc Gené	Minardi	1:37.013	107.242	Yes
1999	French Grand Prix	1:38.441	1:45.331	Damon Hill	Jordan	1:45.334	107.002	Yes
1999	French Grand Prix	1:38.441	1:45.331	Marc Gené	Minardi	1:46.324	108.008	Yes
1999	French Grand Prix	1:38.441	1:45.331	Luca Badoer	Minardi	1:46.784	108.475	Yes
1999	French Grand Prix	1:38.441	1:45.331	Pedro de la Rosa	Arrows	1:48.215	109.929	Yes
1999	French Grand Prix	1:38.441	1:45.331	Toranosuke Takagi	Arrows	1:48.322	110.038	Yes
2001	Australian Grand Prix	1:26.892	1:32.974	Tarso Marques	Minardi	1:33.228	107.292	Yes
2001	British Grand Prix	1:20.447	1:26.078	Tarso Marques	Minardi	1:26.508	107.534	No
2001	Belgian Grand Prix	1:52.072	1:59.917	Jos Verstappen	Arrows	2:02.039	108.893	Yes
2001	Belgian Grand Prix	1:52.072	1:59.917	Fernando Alonso	Minardi	2:02.594	109.389	Yes
2001	Belgian Grand Prix	1:52.072	1:59.917	Enrique Bernoldi	Arrows	2:03.048	109.794	Yes
2001	Belgian Grand Prix	1:52.072	1:59.917	Tarso Marques	Minardi	2:04.204	110.825	Yes
2002	Australian Grand Prix	1:25.843	1:31.852	Takuma Sato	Jordan	1:53.351	132.045	Yes
2002	San Marino Grand Prix	1:21.091	1:26.767	Alex Yoong	Minardi	1:27.241	107.584	No
2002	British Grand Prix	1:18.998	1:24.527	Alex Yoong	Minardi	1:24.785	107.291	No
2002	French Grand Prix	1:11.985	1:17.023	Heinz-Harald Frentzen	Arrows	1:18.497	109.046	No
2002	French Grand Prix	1:11.985	1:17.023	Enrique Bernoldi	Arrows	1:19.843	110.916	No
2002	German Grand Prix	1:14.389	1:19.596	Alex Yoong	Minardi	1:19.775	107.240	No
Year	Event	Q1 fastest time	107% time	Driver	Team	Time	% of fastest	Allowed to race?
2011	Australian Grand Prix	1:25.296	1:31.266	Vitantonio Liuzzi	HRT	1:32.978	109.006	No
2011	Australian Grand Prix	1:25.296	1:31.266	Narain Karthikeyan	HRT	1:34.293	110.547	No
2011	Turkish Grand Prix	1:27.013	1:33.103	Kamui Kobayashi	Sauber	No time set	N/A	Yes
2011	Spanish Grand Prix	1:22.960	1:28.767	Nick Heidfeld	Renault	No time set	N/A	Yes
2011	Monaco Grand Prix	1:15.207	1:20.471	Narain Karthikeyan	HRT	No time set	N/A	Yes
2011	Monaco Grand Prix	1:15.207	1:20.471	Vitantonio Liuzzi	HRT	No time set	N/A	Yes
2011	Canadian Grand Prix	1:13.822	1:18.989	Jérôme d'Ambrosio	Virgin	1:19.414	107.575	Yes
2011	Belgian Grand Prix	2:01.813	2:10.339	Jérôme d'Ambrosio	Virgin	2:11.601	108.035	Yes
2011	Belgian Grand Prix	2:01.813	2:10.339	Vitantonio Liuzzi	HRT	2:11.616	108.047	Yes
2011	Belgian Grand Prix	2:01.813	2:10.339	Daniel Ricciardo	HRT	2:13.077	109.246	Yes
