Year	Division	League	Reg. Season	Playoffs	Open Cup
1974	1	NASL	1st, Western	Champions	Did not enter
1975	N/A	NASL Indoor	3rd, Region 4	Did not qualify	N/A
1975	1	NASL	3rd, Western	Quarterfinals	Did not enter
1976	1	NASL	3rd, Pacific Southern	1st Round	Did not enter
1977	1	NASL	3rd, Pacific Southern	Semifinals	Did not enter
1978	1	NASL	4th, National Western	Did not qulaify	Did not enter
1979	1	NASL	2nd, National Western	Conference Semifinals	Did not enter
1979–80	N/A	NASL Indoor	5th, Western	Did not qualify	N/A
1980	1	NASL	2nd, National Western	Conference Championships	Did not enter
1980–81	N/A	NASL Indoor	1st, Western	1st Round	N/A
1981	1	NASL	2nd, Western	1st Round	Did not enter
