Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Macclesfield Town	42	10	6	80	47	+33	88
2	Bangor City	42	12	5	74	35	+39	87
3	Caernarfon Town	42	16	6	67	40	+37	76
4	Marine	42	10	11	70	43	+27	73
5	South Liverpool	42	10	11	58	40	+18	73
6	Morecambe	42	12	10	66	49	+17	72
7	Matlock Town	42	10	12	81	67	+14	70
8	Southport	42	11	12	67	49	+18	68
9	Chorley	42	12	14	58	59	−1	60
10	Mossley	42	12	15	57	52	+5	57
11	Hyde United	42	10	17	81	70	+11	55
12	Burton Albion	42	6	20	56	68	−12	54
13	Buxton	42	14	15	71	68	+3	53
14	Witton Albion	42	8	19	68	79	−11	53
15	Barrow	42	7	20	42	57	−15	52
16	Goole Town	42	12	17	58	62	−4	51
17	Oswestry Town	42	8	20	55	83	−28	50
18	Rhyl	42	15	17	56	74	−18	45
19	Worksop Town	42	13	20	56	74	−18	40
20	Gainsborough Trinity	42	10	23	53	77	−24	37
21	Workington	42	14	23	38	70	−32	28 2
22	Horwich RMI	42	12	27	36	85	−49	20 2
