Match	Date	Location	Lineup	Result	Competition
China 1991 FIFA Women's World Cup	China 1991 FIFA Women's World Cup	China 1991 FIFA Women's World Cup	China 1991 FIFA Women's World Cup	China 1991 FIFA Women's World Cup	China 1991 FIFA Women's World Cup
1	1991-11-17	Jiangmen	Start	4-0	Group stage
2	1991-11-19	Zhongshan	Start	3-0	Group stage
3	1991-11-21	Zhongshan	Start	2-0	Group stage
4	1991-11-24	Zhongshan	Start	2-1 aet	Quarter-final
5	1991-11-27	Guangzhou	Start	2-5	Semifinal
6	1991-11-29	Guangzhou	Start	0-4	Third place match
Sweden 1995 FIFA Women's World Cup Final	Sweden 1995 FIFA Women's World Cup Final	Sweden 1995 FIFA Women's World Cup Final	Sweden 1995 FIFA Women's World Cup Final	Sweden 1995 FIFA Women's World Cup Final	Sweden 1995 FIFA Women's World Cup Final
7	1995-06-05	Karlstad	Start	1-0	Group stage
8	1995-06-07	Helsingborg	Start	2-3	Group stage
9	1995-06-09	Karlstad	Start	6-1	Group stage
10	1995-06-13	Vasteras	Start	3-0	Quarter-final
11	1995-06-15	Helsingborg	Start	1-0	Semifinal
12	1995-06-18	Solna Municipality	Start	0-2	Final
Atlanta 1996 Olympic Women's Football Tournament	Atlanta 1996 Olympic Women's Football Tournament	Atlanta 1996 Olympic Women's Football Tournament	Atlanta 1996 Olympic Women's Football Tournament	Atlanta 1996 Olympic Women's Football Tournament	Atlanta 1996 Olympic Women's Football Tournament
13	1996-07-21	Birmingham, AL	Start	3-2	Group stage
14	1996-07-23	Washington, D.C.	Start	2-3	Group stage
15	1996-07-25	Birmingham, AL	Start	1-1	Group stage
Match Reports	Match Reports	Match Reports	Match Reports	Match Reports	Match Reports
