Ring name	Current rank	Debut	Stable	Birthplace
Aminishiki Ryūji	e0 Maegashira 1 West	1997-1	Isegahama	Aomori
Aoiyama Kōsuke	e0 Maegashira 5 East	2009-5	Tagonoura	z Elhovo , Bulgaria
Asasekiryū Tarō	f0 Jūryō 4 East	2000-1	Takasago	z Ulan Bator , Mongolia
Chiyonokuni Toshiki	f0 Jūryō 3 West	2006-5	Kokonoe	Mie
Chiyotairyū Hidemasa	e0 Maegashira 6 East	2011-5	Kokonoe	Tokyo
Daidō Kenji	f1 Jūryō 10 West	2005-3	Onomatsu	Tokyo
Endō Shōta	e0 Maegashira 7 West	2013-3	Oitekaze	Ishikawa
Fujiazuma Kazuyoshi	e1 Maegashira 12 West	2003-3	Tamanoi	Tokyo
Gagamaru Masaru	e1 Maegashira 13 West	2005- a 11	Kise	z Tbilissi , Georgia
Gōeidō Gōtarō	c Sekiwake East	2005-1	Sakaigawa	os Ōsaka
Hakuhō Shō	a Yokozuna East	2001-3	Miyagino	z Ulan Bator , Mongolia
Harumafuji Kōhei	a Yokozuna West	2001-1	Isegahama	z Ulan Bator , Mongolia
Hōchiyama Kōkan	h0 Sandanme 7 West	2000-3	Sakaigawa	Aomori
Hōmashō Noriyuki	e0 Maegashira 4 East	2004-3	Shikoroyama	Yamaguchi
Ikioi Shōta	e0 Maegashira 6 West	2005-3	Isenoumi	os Ōsaka
Jōkōryū Takayuki	e1 Maegashira 12 East	2011-7	Kise	Tokyo
Kaisei Ichirō	e0 Maegashira 5 West	2006-9	Tomozuna	z São Paulo , Brazil
Kakuryū Rikisaburō	b1 Ōzeki 2 East	2001- a 11	Izutsu	z Sükhbaatar aimag , Mongolia
Kimikaze Toshiji	g1 Makushita 13 West	2009-1	Oguruma	Tokyo
Kimurayama Mamoru	f1 Jūryō 11 West	2004-3	Kasugano	Wakayama
Kisenosato Yutaka	b1 Ōzeki 1 East	2002-3	Naruto	Ibaraki
Kitataiki Akeyoshi	e0 Maegashira 9 West	1998-3	Kitanoumi	Tokyo
Kotoōshū Katsunori	b2 Ōzeki 2 West	2002- a 11	Sadogatake	z Veliko Tarnovo , Bulgaria
Kotoshōgiku Kazuhiro	b2 Ōzeki 1 West	2002-1	Sadogatake	Fukuoka
Kotoyūki Kazuyoshi	e1 Maegashira 10 West	2008-3	Sadogatake	Kagawa
Kyokushūhō Kōki	e1 Maegashira 14 East	2007-5	o Ōshima	z Mongolia
Kyokutenhō Masaru	e0 Maegashira 2 East	1992-3	o Ōshima	z Nalaikh , Mongolia
Masunoyama Tomoharu	e1 Maegashira 11 East	2006-7	Chiganoura	Chiba
Myōgiryū Yasunari	e0 Maegashira 1 East	2009-5	Sakaigawa	Hyōgo
Okinoumi Ayumi	d Komusubi West	2005-1	Hakkaku	Shimane
o Ōsuna-arashi Kintarō	e1 Maegashira 15 West	2012-3	o Ōtake	Dakahlia Governorate , Egypt
Sadanofuji Akihiro	e0 Maegashira 9 East	2003-1	Sakaigawa	Nagasaki
Sagatsukasa Hiroyuki	g0 Makushita 6 East	2005-1	Irumagawa	Shizuoka
Satoyama Kōsaku	f0 Jūryō 6 East	2004-3	Onoe	Kagoshima
Shōhōzan Yūya	d Komusubi East	2006-3	Matsugane	Fukuoka
Shōtenrō Taishi	e1 Maegashira 15 East	2001-3	Fujishima	z Khovd aimag , Mongolia
Sōkokurai Eikichi	f0 Jūryō 7 West	2003-9	Arashio	z Inner Mongolia , China
Takanoyama Shuntarō	g0 Makushita 2 West	2001- a 11	Naruto	z Prague , Czech Republic
Takarafuji Daisuke	e0 Maegashira 8 East	2009-1	Isegahama	Aomori
Takayasu Akira	e0 Maegashira 3 East	2005-3	Naruto	Ibaraki
Takekaze Akira	e0 Maegashira 3 West	2002-5	Oguruma	Akita
Tamaasuka Daisuke	e1 Maegashira 16 West	1998-3	Kataonami	Aichi
Tamawashi Ichirō	e1 Maegashira 11 West	2004-1	Kataonami	z Ulan Bator , Mongolia
Tenkaihō Takayuki	e0 Maegashira 8 West	2007-1	Onoe	Kumamoto
Tochinoshin Tsuyoshi	f1 Jūryō 14 West	2006-3	Kasugano	z Mtskheta , Georgia
Tochinowaka Michihiro	e0 Maegashira 4 West	2007-1	Kasugano	Hyogo
Tochiōzan Yūichirō	c Sekiwake West	2005-1	Kasugano	Kōchi
Tokitenkū Yoshiaki	e1 Maegashira 10 East	2002-7	Tokitsukaze	z Töv aimag , Mongolia
Tokushōryū Makota	e1 Maegashira 14 West	2009-1	Kise	Nara
Tosayutaka Yūya	g4 Makushita 48 East	2007-3	Tokitsukaze	Kōchi
Towanoyama Yoshimitsu	g3 Makushita 37 East	1993- a 11	Dewanoumi	Tokyo
Toyohibiki Ryūta	e0 Maegashira 7 East	2005-1	Sakaigawa	Yamaguchi
Toyonoshima Daiki	e0 Maegashira 2 West	2002-1	Tokitsukaze	Kōchi
Wakakōyū Masaya	f1 Jūryō 11 East	1999-3	Onomatsu	Chiba
Wakanosato Shinobu	f0 Jūryō 5 West	1992-3	Naruto	Aomori
Yoshiazuma Hiroshi	f0 Jūryō 6 West	1996-1	Tamanoi	Kumamoto
Yoshikaze Masatsugu	e1 Maegashira 13 East	2004-1	Oguruma	oi Ōita
