Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1960	October 30	Bobby Johns	Cotton Owens	Pontiac	334	501 (806.281)	4:36:44	108.408	Report
1961	March 26	Bob Burdick	Roy Burdick	Pontiac	334	501 (806.281)	4:02:05	124.172	Report
1962	June 10	Fred Lorenzen	Holman-Moody	Ford	219*	328.5 (528.669)	3:13:16	101.983	Report
1963	March 17	Fred Lorenzen	Holman-Moody	Ford	334	501 (806.281)	3:50:12	130.582	Report
1964	April 5	Fred Lorenzen	Holman-Moody	Ford	334	501 (806.281)	3:46:05	134.137	Report
1965	April 11	Marvin Panch	Wood Brothers Racing	Ford	334	501 (806.281)	3:52:17	129.41	Report
1966	March 27	Jim Hurtubise	Norm Nelson	Plymouth	334	501 (806.281)	3:49:02	131.247	Report
1967	April 2	Cale Yarborough	Wood Brothers Racing	Ford	334	501 (806.281)	3:49:03	131.238	Report
1968	March 31	Cale Yarborough	Wood Brothers Racing	Mercury	334	501 (806.281)	3:59:24	125.564	Report
1969	March 30	Cale Yarborough	Wood Brothers Racing	Mercury	334	501 (806.281)	3:46:10	132.191	Report
1970	March 29	Bobby Allison	Mario Rossi	Dodge	328	499.216 (803.41)	3:34:38	139.554	Report
1971	April 4	A.J. Foyt	Wood Brothers Racing	Mercury	328	499.216 (803.41)	3:42:16	131.375	Report
1972	March 26	Bobby Allison	Richard Howard	Chevrolet	328	499.216 (803.41)	3:53:37	128.214	Report
1973	April 1	David Pearson	Wood Brothers Racing	Mercury	328	499.216 (803.41)	3:34:52	139.351	Report
1974	March 24	Cale Yarborough	Richard Howard	Chevrolet	296*	450.512 (725.028)	3:01:26	136.91	Report
1975	March 23	Richard Petty	Petty Enterprises	Dodge	328	499.216 (803.41)	3:44:06	133.496	Report
1976	March 21	David Pearson	Wood Brothers Racing	Mercury	328	499.216 (803.41)	3:52:16	128.904	Report
1977	March 20	Richard Petty	Petty Enterprises	Dodge	328	499.216 (803.41)	3:27:51	144.093	Report
1978	March 19	Bobby Allison	Bud Moore Engineering	Ford	328	499.216 (803.41)	3:30:10	142.52	Report
1979	March 18	Buddy Baker	Ranier-Lundy	Oldsmobile	328	499.216 (803.41)	3:41:47	135.136	Report
1980	March 16	Dale Earnhardt	Rod Osterlund Racing	Chevrolet	328	499.216 (803.41)	3:42:32	134.808	Report
1981	March 15	Cale Yarborough	M.C. Anderson Racing	Buick	328	499.216 (803.41)	3:44:10	133.619	Report
1982	March 21	Darrell Waltrip	Junior Johnson & Associates	Buick	287*	436.82 (702.993)	3:29:58	124.824	Report
1983	March 27	Cale Yarborough	Ranier-Lundy	Chevrolet	328	499.216 (803.41)	4:01:27	124.055	Report
1984	March 18	Benny Parsons	Johnny Hayes	Chevrolet	328	499.216 (803.41)	3:26:39	144.945	Report
1985	March 17	Bill Elliott	Melling Racing	Ford	328	499.216 (803.41)	3:33:32	140.273	Report
1986	March 16	Morgan Shepherd	Race Hill Farm Team	Buick	328	499.216 (803.41)	3:46:41	132.126	Report
1987	March 15	Ricky Rudd	Bud Moore Engineering	Ford	328	499.216 (803.41)	3:44:02	133.689	Report
1988	March 20	Dale Earnhardt	Richard Childress Racing	Chevrolet	328	499.216 (803.41)	3:37:42	137.588	Report
1989	March 19	Darrell Waltrip	Hendrick Motorsports	Chevrolet	328	499.216 (803.41)	3:34:26	139.684	Report
