-	Quebec	Ontario	Atlantic	Canada West	NATIONAL
Week 1	Max Caron (Concordia)	Sam Sabourin (Queen’s)	Season Did Not Start	Steve Famulak (Regina)	Sam Sabourin (Queen’s)
Week 2	Julien Hamel (Montreal)	Craig Butler (Western)	Jake Thomas (Acadia)	Nathan Kanya (UBC)	Nathan Kanya (UBC)
Week 3	Frédérick Plesius (Laval)	Adam Fehler (Toronto)	Raye Hartmann (St. Francis Xavier)	Tye Noble (Calgary)	Tye Noble (Calgary)
Week 4	Arnaud Gascon-Nadon (Laval)	Zander Robinson (Western)	Tom Labenski (Acadia)	Bruce Anderson (Regina)	Zander Robinson (Western)
Week 5	Justin Conn (Bishop’s)	John Surla (Western)	Dan Schutte (Saint Mary’s)	Nico Higgs (Saskatchewan)	Justin Conn (Bishop’s)
Week 6	Samaël Lavaud (Laval)	Sam Sabourin (Queen's)	Mark Holden (Saint Mary's)	No nominee (bye week)	Mark Holden (Saint Mary's)
Week 7	Felipe Fonseca (Sherbrooke)	Joe Cappiello (Toronto)	Jeff Hecht (Saint Mary’s)	Nico Higgs (Saskatchewan)	Nico Higgs (Saskatchewan)
Week 8	Julien Hamel (Montreal)	Samuel Aird (Wilfrid Laurier)	Adrian Saturley (Acadia)	Jean-Marc Jones (Alberta)	Julien Hamel (Montreal)
Week 9	Dave Boucher (Sherbrooke)	Stephen Cormack (Wilfrid Laurier)	Brian Ridgeway (Saint Mary's)	Teague Sherman (Manitoba)	Dave Boucher (Sherbrooke)
Week 10	Maximilien Ducap Kamara (Laval)	John Surla (Western Ontario)	Graeme Richardson (Acadia)	Craig Gerbrandt (Alberta)	Maximilien Ducap Kamara (Laval)
Week 11	Frédérick Plesius (Laval)	Craig Butler (Western Ontario)	Brian Ridgeway (Saint Mary's)	Linden Gaydosh (Calgary)	Craig Butler (Western Ontario)
