Week	Date	Opponent	Result	Attendance
1	September 2, 1984	at Denver Broncos	L 20–17	74,178
2	September 9, 1984	Kansas City Chiefs	L 27–22	47,111
3	September 16, 1984	at New York Jets	L 43–23	64,193
4	September 23, 1984	Los Angeles Rams	L 24–14	45,406
5	October 1, 1984	at Pittsburgh Steelers	L 38–17	57,098
6	October 7, 1984	Houston Oilers	W 13–3	43,637
7	October 14, 1984	at New England Patriots	L 20–14	48,154
8	October 21, 1984	Cleveland Browns	W 12–9	50,667
9	October 28, 1984	at Houston Oilers	W 31–13	34,010
10	November 4, 1984	at San Francisco 49ers	L 23–17	58,324
11	November 11, 1984	Pittsburgh Steelers	W 22–20	52,497
12	November 18, 1984	Seattle Seahawks	L 26–6	50,280
13	November 25, 1984	Atlanta Falcons	W 35–14	44,678
14	December 2, 1984	at Cleveland Browns	W 20–17	51,774
15	December 9, 1984	at New Orleans Saints	W 24–21	40,855
16	December 16, 1984	Buffalo Bills	W 52–21	55,771
