Game	Date	Team	Score	High points	Location Attendance	Record
9	November 1	San Diego	L 125–139	Al Tucker (23)	Portland , Oregon 2,593	2–7
10	November 2	Chicago	L 105–109	Bob Rule (27)	Spokane , Washington 1,051	2–8
11	November 3	New York	L 100–134	Walt Hazzard (19)	Seattle Center Coliseum 4,654	2–9
12	November 7	@ San Francisco	L 112–126	Bob Weiss (20)	Oakland-Alameda County Coliseum Arena 3,168	2–10
13	November 8	@ St. Louis	L 96–111	Walt Hazzard (20)	Kiel Auditorium 3,022	2–11
14	November 9	Detroit	L 118–119	Walt Hazzard (33)	Madison Square Garden	2–12
15	November 11	@ Baltimore	L 129–134	Walt Hazzard (26)	Baltimore Civic Center 4,685	2–13
16	November 14	Boston	L 111–114	Bob Weiss (29)	Madison Square Garden	2–14
17	November 17	San Diego	W 130–124	Walt Hazzard (30)	Seattle Center Coliseum 4,162	3–14
18	November 19	Detroit	W 132–130 (OT)	Bob Rule (31)	Seattle Center Coliseum 4,468	4–14
19	November 20	Detroit	L 118–120	Bob Weiss (27)	Tacoma , Washington 2,311	4–15
20	November 21	L. A. Lakers	W 137–132	Bob Rule (47)	Seattle Center Coliseum 8,122	5–15
21	November 23	Boston	W 133–106	Bob Rule (26)	Philadelphia , Pennsylvania	6–15
22	November 25	Cincinnati	L 133–153	Walt Hazzard (19)	Cleveland , Ohio 3,455	6–16
23	November 25	@ New York	L 110–111	Walt Hazzard (21)	Madison Square Garden 9,011	6–17
24	November 28	@ Chicago	W 111–108	Three players (20)	Chicago Stadium 1,659	7–17
