Place	Code	Area (km 2 )	Population	Most spoken language
Beachview	27501	0.78	500	Afrikaans
Bethelsdorp	27502	77.64	134,617	Afrikaans
Blue Horizon Bay	27503	2.74	409	Afrikaans
Cannonvale	27504	0.69	196	Afrikaans
Colchester	27505	1.28	743	Afrikaans
Despatch	27506	38.75	25,086	Afrikaans
Gqebera	27507	1.90	16,686	Xhosa
Ibhayi	27508	23.69	255,826	Xhosa
Kabah	27509	1.68	3,282	Afrikaans
Khaya Mnandi	27510	0.82	5,379	Xhosa
Kwa Langa	27511	0.70	8,196	Xhosa
Kwadwesi	27512	5.10	17,733	Xhosa
Kwanobuhle	27513	15.34	87,585	Xhosa
Motherwell	27514	29.52	117,319	Xhosa
Port Elizabeth	27516	335.30	237,500	Afrikaans
Seaview	27517	1.60	732	English
Uitenhage	27518	84.77	71,666	Afrikaans
Woodridge	27519	0.56	270	Xhosa
Young Park	27520	0.52	762	Afrikaans
Remainder of the municipality	27515	1,328.77	21,281	Xhosa
