Network	Origin of Programming	Language	Genre	Service
AAG TV	Pakistan	Urdu	Music	Sky
Aaj Tak	India	Hindi	News	Sky
Aastha	India	Hindi	Religious	Sky
ARY Digital	Pakistan	Urdu	General	Sky
ARY Digital	Pakistan	Urdu	General	Virgin TV
ARY News	Pakistan	Urdu	News	Sky
ARY News	Pakistan	Urdu	News	Virgin TV
ARY QTV	Pakistan	Urdu	Religious	Sky
ATN Bangla	Bangladesh	Bengali	General	Sky
B4U Movies	India	Hindi	Movies	Sky
B4U Movies	India	Hindi	Movies	Virgin TV
B4U Music	India	Hindi	Music	Freesat
B4U Music	India	Hindi	Music	Sky
B4U Music	India	Hindi	Music	Virgin TV
Bangla TV	United Kingdom	Bengali	General	Sky
BritAsia TV	United Kingdom	English	General	Sky
Channel 9	Bangladesh	Bengali	General	Sky
Channel i	Bangladesh	Bengali	General	Sky
Channel S	United Kingdom	Bengali	General	Sky
Colors	India	Hindi	General	Sky
Colors	India	Hindi	General	Virgin TV
Geo News	Pakistan	Urdu	News	Sky
Geo Tez	Pakistan	Urdu	News	Sky
Geo TV	Pakistan	Urdu	General	Sky
Lamhe	India	Hindi	General	Sky
Lamhe	India	Hindi	General	Virgin TV
MATV National	United Kingdom	Hindi	General	Sky
Music India	India	Hindi	Music	Sky
NDTV 24x7	India	English	News	Sky
NDTV 24x7	India	English	News	Virgin TV
NDTV Good Times	India	English	Lifestyle	Virgin TV
NTV Bangla	Bangladesh	Bengali	General	Sky
Peace TV	India	English	Religious	Sky
Peace TV	India	Urdu	Religious	Sky
PTC Punjabi	India	Punjabi	General	Sky
PTV Global	Pakistan	Urdu	General	Sky
Rishtey	India	Hindi	General	Sky
Rishtey	India	Hindi	General	Virgin TV
SAB	India	Hindi	General	Freesat
SAB	India	Hindi	General	Sky
SAB	India	Hindi	General	Virgin TV
Sahara One	India	Hindi	General	Sky
Samaa	Pakistan	Urdu	News	Sky
Sangat TV	United Kingdom	Punjabi	Religious	Sky
SET Max	India	Hindi	Movies	Sky
SET Max	India	Hindi	Movies	Virgin TV
Sony Entertainment Television Asia	India	Hindi	General	Sky
Sony Entertainment Television Asia	India	Hindi	General	TalkTalk
Sony Entertainment Television Asia	India	Hindi	General	Virgin TV
Sikh Channel	United Kingdom	Punjabi	Religious	Sky
STAR Gold	India	Hindi	Movies	Sky
STAR Gold	India	Hindi	Movies	TalkTalk
STAR Gold	India	Hindi	Movies	Virgin TV
STAR Jalsha	India	Bengali	General	Sky
STAR Jalsha	India	Bengali	General	TalkTalk
STAR Life OK	India	Hindi	General	Sky
STAR Life OK	India	Hindi	General	TalkTalk
STAR Life OK	India	Hindi	General	Virgin TV
STAR Plus	India	Hindi	General	Sky
STAR Plus	India	Hindi	General	TalkTalk
STAR Plus	India	Hindi	General	Virgin TV
STAR Plus HD	India	Hindi	General	Sky
Sunrise TV	United Kingdom	Hindi	General	Sky
UMP Movies	India	Hindi	Movies	Sky
UMP Movies	India	Hindi	Movies	Virgin TV
UMP Stars	India	Hindi	Movies	Sky
Venus TV	United Kingdom	Urdu	General	Sky
Zee Cinema	India	Hindi	Movies	Sky
Zee Cinema	India	Hindi	Movies	Virgin TV
Zee News	India	Hindi	News	Sky
Zee Punjabi	India	Punjabi	General	Sky
Zee Punjabi	India	Punjabi	General	Virgin TV
Zee TV	India	Hindi	General	Sky
Zee TV	India	Hindi	General	TalkTalk
Zee TV	India	Hindi	General	Virgin TV
Zing	India	Hindi	Music	Freesat
Zing	India	Hindi	Music	Sky
Zing	India	Hindi	Music	Virgin TV
