Institution	Government	Aided	Unaided	Total
Lower Primary School	141	115	7	263
Upper Primary School	73	72	4	149
High School	43	19	8	70
Higher Secondary School	31	14	0	45
Arts & Science College	3	1	9	13
Engineering College	1	0	0	1
Agriculture College	1	0	0	1
Pharmacy College	0	1	0	1
Teacher Training School	2	1	0	3
Special Schools for the blind/deaf	1	1	0	2
Industrial Training Institute	2	0	0	2
Industrial Training Centres	0	0	1	1
Polytechnic	2	1	0	3
Kendriya Vidyalaya	0	0	0	3
Navodaya Vidyalaya	0	0	0	1
B.Ed Centre	1	0	0	1
