Position	Number	Name	Height	Weight	Class	Hometown	Games↑
LE	99	Jeremy Jarmon	6'3"	277lb.	Jr.	Collierville, Tennessee	5
LT	98	Myron Pryor	6'1"	310lb.	Sr.	Louisville, Kentucky	5
RT	91	Corey Peters	6'3"	290lb.	Jr.	Louisville, Kentucky	5
RE	95	Ventrell Jenkins	6'2"	285lb.	Sr.	Columbia, South Carolina	5
OLB	21	Michael Schwindel	6'1"	220lb.	Jr.	Hawesville, Kentucky	2
MLB	56	Braxton Kelley	6'0"	230lb.	Sr.	LaGrange, Georgia	5
SLB	51	Johnny Williams	6'3"	244lb.	Sr.	Jacksonville, Florida	5
RCB	32	Trevard Lindley	6'0"	175lb.	Jr.	Hiram, Georgia	5
LCB	7	David Jones	5'10"	180lb.	Sr.	Red Jacket, West Virginia	5
FS	33	Calvin Harrison	6'1"	197lb.	Jr.	Columbia, South Carolina	1
