Fin. Pos	Car No.	Driver	Team	Laps	Time/Retired	Grid	Laps Led	Points
1	27	Dario Franchitti	Andretti Green	250	1:24:19.6684	1	241	50+3
2	9	Scott Dixon	Target Chip Ganassi	250	+0.4194	3	0	40
3	10	Dan Wheldon	Target Chip Ganassi	250	+1.3629	4	0	35
4	11	Tony Kanaan	Andretti Green	250	+2.9088	2	8	32
5	15	Buddy Rice	Dreyer & Reinbold Racing	250	+5.9130	12	0	30
6	7	Danica Patrick	Andretti Green	250	+6.3619	8	0	28
7	2	Tomas Scheckter	Vision Racing	250	+7.5597	10	0	26
8	8	Scott Sharp	Rahal Letterman	250	+8.5739	7	0	24
9	4	Vitor Meira	Panther Racing	250	+9.5276	9	0	22
10	20	Ed Carpenter	Vision Racing	250	+10.3247	15	0	20
11	3	Hélio Castroneves	Team Penske	249	+1 Lap	6	1	19
12	26	Marco Andretti	Andretti Green	249	+1 Lap	14	0	18
13	22	A. J. Foyt IV	Vision Racing	249	+1 Lap	17	0	17
14	14	Darren Manning	A.J. Foyt Racing	249	+1 Lap	13	0	16
15	6	Sam Hornish, Jr.	Team Penske	248	+2 Laps	5	0	15
16	5	Sarah Fisher	Dreyer & Reinbold Racing	247	+3 Laps	16	0	14
17	55	Kosuke Matsuura	Panther Racing	236	Accident	18	0	13
18	17	Jeff Simmons	Rahal Letterman	153	Accident	11	0	12
19	23	Milka Duno (R)	SAMAX Motorsport	79	Handling	19	0	12
