Year	Album	Oricon position	1st week sales	Copies sold
1988	B'z Release date: September 21, 1988	47	3,790+	338,360+
1989	Off the Lock Release date: May 21, 1989	33	4,590+	604,700+
1990	Break Through Release date: February 21, 1990	3	41,700+	724,640+
1990	Risky Release date: November 7, 1990	1	314,770+	1,695,900+
1991	In The Life Release date: November 27, 1991	1	1,043,070+	2,402,970+
1992	Run Release date: October 28, 1992	1	1,190,380+	2,196,660+
1994	The 7th Blues Release date: March 2, 1994	1	1,049,900+	1,630,450+
1995	Loose Release date: November 22, 1995	1	1,336,150+	3,003,210+
1997	Survive Release date: November 19, 1997	1	1,040,160+	1,723,030+
1999	Brotherhood Release date: July 14, 1999	1	1,019,270+	1,391,850+
2000	Eleven Release date: December 6, 2000	1	756,910+	1,132,180+
2002	Green Release date: July 3, 2002	1	800,120+	1,131,788+
2003	Big Machine Release date: September 17, 2003	1	500,237+	746,451+
2005	The Circle Release date: April 6, 2005	1	345,041+	557,783+
2006	Monster Release date: June 28, 2006	1	401,000+	539,708+
2007	Action Release date: December 5, 2007	1	292,987+	440,108+
2009	Magic Release date: November 18, 2009	1	340,630+	488,468+
2011	C'mon Release date: July 27, 2011	1	272,397	383,428+
