Rank	Athlete	Nation	Olympics	Gold	Silver	Bronze	Total(min. 2 medals)
1	Frank Wykoff Category:Articles with hCards	United States (USA)	1928–1936	3	0	0	3
2	Loren Murchison Category:Articles with hCards	United States (USA)	1920-1924	2	0	0	2
2	Harrison Dillard Category:Articles with hCards	United States (USA)	1948–1952	2	0	0	2
2	Vladimir Muravyov Category:Articles with hCards	Soviet Union (URS)	1980–1988	2	0	0	2
2	Carl Lewis Category:Articles with hCards	United States (USA)	1984–1992	2	0	0	2
2	Usain Bolt Category:Articles with hCards	Jamaica (JAM)	2008–2012	2	0	0	2
2	Nesta Carter Category:Articles with hCards	Jamaica (JAM)	2008–2012	2	0	0	2
2	Michael Frater Category:Articles with hCards	Jamaica (JAM)	2008–2012	2	0	0	2
9	Michael Marsh Category:Articles with hCards	United States (USA)	1992–1996	1	1	0	2
9	Dennis Mitchell Category:Articles with hCards	United States (USA)	1992–1996	1	1	0	2
9	Jon Drummond Category:Articles with hCards	United States (USA)	1996–2000	1	1	0	2
9	Tim Montgomery Category:Articles with hCards	United States (USA)	1996–2000	1	1	0	2
9	Maurice Greene Category:Articles with hCards	United States (USA)	2000–2004	1	1	0	2
14	Aleksandr Aksinin Category:Articles with hCards	Soviet Union (URS)	1976–1980	1	0	1	2
15	Helmut Körnig Category:Articles with hCards	Germany (GER)	1928–1932	0	2	0	2
15	Boris Tokarev Category:Articles with hCards	Soviet Union (URS)	1952–1956	0	2	0	2
15	Vladimir Sukharev Category:Articles with hCards	Soviet Union (URS)	1952–1956	0	2	0	2
15	Leonid Bartenev Category:Articles with hCards	Soviet Union (URS)	1956–1960	0	2	0	2
15	Yuriy Konovalov Category:Articles with hCards	Soviet Union (URS)	1956–1960	0	2	0	2
15	Justin Gatlin Category:Articles with hCards	United States (USA)	2004–2012	0	2	0	2
15	Darvis Patton Category:Articles with hCards	United States (USA)	2004–2012	0	2	0	2
22	Walter Rangeley Category:Articles with hCards	Great Britain (GBR)	1924–1928	0	1	1	2
22	Erich Borchmeyer Category:Articles with hCards	Germany (GER)	1932–196	0	1	1	2
22	Juris Silovs Category:Articles with hCards	Soviet Union (URS)	1972–1976	0	1	1	2
22	Valeriy Borzov Category:Articles with hCards	Soviet Union (URS)	1972–1976	0	1	1	2
22	Edson Ribeiro Category:Articles with hCards	Brazil (BRA)	1996–2000	0	1	1	2
22	Andre da Silva Category:Articles with hCards	Brazil (BRA)	1996–2000	0	1	1	2
22	Emmanuel Callender Category:Articles with hCards	Trinidad and Tobago (TRI)	2008–2012	0	1	1	2
22	Richard Thomson Category:Articles with hCards	Trinidad and Tobago (TRI)	2008–2012	0	1	1	2
22	Marc Burns Category:Articles with hCards	Trinidad and Tobago (TRI)	2008–2012	0	1	1	2
22	Keston Bledman Category:Articles with hCards	Trinidad and Tobago (TRI)	2008–2012	0	1	1	2
32	Claude Piquemal Category:Articles with hCards	France (FRA)	1964–1968	0	0	2	2
