Constituency	Winner	Party	Margin	Runner-up a	Party a
1. Chennai North	D. Pandian	Indian National Congress	118518	Aladi Aruna	DMK
2. Chennai Central	Era Anbarasu c	Indian National Congress	103271	N. V. N. Somu	DMK
3. Chennai South	R. Sridharan	Anna Dravida Munnetra Kazhagam	162528	T. R. Balu	DMK
4. Sriperumbudur	Margatham Chandrasekar c	Indian National Congress	180572	K. Sundaram	DMK
5. Chengalpattu	S. S. R. Rajendra Kumar	Anna Dravida Munnetra Kazhagam	153206	C. Arumugam	DMK
6. Arakkonam	R. Jeevarathinam c	Indian National Congress	176710	M. Kannaiyan	DMK
7. Vellore	B. Akber Pasha	Indian National Congress	199169	P. Shanmugam	DMK
8. Tiruppattur	A. Jayamohan c	Indian National Congress	190461	K. C. Alagiri	DMK
9. Vandavasi	M. Krishnaswamy	Indian National Congress	177095	D. Venugopal	DMK
10. Tindivanam	K. Rama Murthee	Indian National Congress	170149	N. Dayanidhi	DMK
11. Cuddalore	P. P. Kaliaperumal	Indian National Congress	208057	G. Bhuvarahan	JD
12. Chidambaram	P. Vallalperuman c	Indian National Congress	136890	Sulochana Ayyasamy	DMK
13. Dharmapuri	K.V. Thangkabalu	Indian National Congress	150489	P. D. Elangovan	PMK
14. Krishnagiri	K. Ramamurthy	Indian National Congress	213114	R. Manickam	JD
15. Rasipuram	B. Devarajan c	Indian National Congress	272985	I. Suganya	DMK
16. Salem	Rangarajan Kumaramangalam c	Indian National Congress	282568	K. P. Arthanarisamy	DMK
17. Tiruchengode	K. S. Soundaram	Anna Dravida Munnetra Kazhagam	314481	K. P. Ramalingam	DMK
18. Nilgiris	R. Prabhu c	Indian National Congress	180802	S. Doraisamy	DMK
19. Gobichettipalayam	P. G. Narayanan c	Anna Dravida Munnetra Kazhagam	249161	G. S. Lakshman Iyer	JD
20. Coimbatore	C. K. Kuppuswamy c	Indian National Congress	186064	K. Ramani	CPM
21. Pollachi	B. Rajaravivarma	Anna Dravida Munnetra Kazhagam	206270	C. T. Dhandapani	DMK
22. Palani	A. Senapathi Gounder c	Indian National Congress	260142	K. Kumarasamy	DMK
23. Dindigul	C. Sreenivaasan	Anna Dravida Munnetra Kazhagam	224417	K. Maya Thevar	DMK
24. Madurai	A. G. S. Ram Babu c	Indian National Congress	242160	P. Mohan	CPM
25. Periyakulam	R. Ramasamy	Anna Dravida Munnetra Kazhagam	213960	Cumbum Ramakrishnan	DMK
26. Karur	N. Murugesan	Anna Dravida Munnetra Kazhagam	269969	D. Thirunavukkarasu	DMK
27. Tiruchirappalli	L. Adaikalaraj c	Indian National Congress	209706	T. K. Rangarajan	CPM
28. Perambalur	A. Asokraj c	Anna Dravida Munnetra Kazhagam	194950	S. V. Ramaswamy	DMK
29. Mayiladuturai	Mani Shankar Aiyar	Indian National Congress	161937	Kuttalam P. Kalyanam	DMK
30. Nagapattinam	Padma	Indian National Congress	25716	M. Selvaraj	CPI
31. Thanjavur	K. Thulasiah Vandayar	Indian National Congress	162070	S. Palanimanickam	DMK
32. Pudukkottai	N. Sundararaj c	Indian National Congress	219721	K. Chandrasekaran	DMK
33. Sivaganga	P. Chidambaram c	Indian National Congress	228597	V. Kasinathan	DMK
34. Ramanathapuram	V. Rajeshwaran	Indian National Congress	171526	S. Vellaichamy	DMK
35. Sivakasi	R. Kanga Govindarajulu	Anna Dravida Munnetra Kazhagam	163090	A. Srinivasan	CPI
36. Tirunelveli	M. R. Kadambur Janarthanan	Anna Dravida Munnetra Kazhagam	153592	K. P. Kandasamy	DMK
37. Tenkasi	M. Arunachalam c	Indian National Congress	182086	T. Sadhan Tirumalaikumar	DMK
38. Tiruchendur	R. Dhanuskodi Athithan c	Indian National Congress	258776	G. Anton Gomez	JD
