Song title	Artist	Decade	Genre	Single / Pack name	Release date	Family Friendly	Additional Rock Band 3 Features
"Claudette"	Roy Orbison	1980s	Pop-Rock	Roy Orbison 01	Jan.6,2009	Yes	None
" In Dreams "	Roy Orbison	1980s	Pop-Rock	Roy Orbison 01	Jan.6,2009	Yes	None
" Mean Woman Blues "	Roy Orbison	1980s	Pop-Rock	Roy Orbison 01	Jan.6,2009	Yes	None
" Oh, Pretty Woman "	Roy Orbison	1980s	Pop-Rock	Roy Orbison 01	Jan.6,2009	Yes	None
"Ooby Dooby"	Roy Orbison	1980s	Pop-Rock	Roy Orbison 01	Jan.6,2009	Yes	None
" You Got It "	Roy Orbison	1980s	Pop-Rock	Roy Orbison 01	Jan.6,2009	Yes	None
" Are You Gonna Go My Way "	Lenny Kravitz	1990s	Rock	Lenny Kravitz 01	Jan.13,2009	Yes	None
"Freedom Train"	Lenny Kravitz	1980s	Rock	Lenny Kravitz 01	Jan.13,2009	Yes	None
" Let Love Rule "	Lenny Kravitz	1980s	Rock	Lenny Kravitz 01	Jan.13,2009	Yes	None
" Mr. Cab Driver "	Lenny Kravitz	1980s	Rock	Lenny Kravitz 01	Jan.13,2009	Yes	None
"Megasus"	Megasus	2000s	Metal	Single	Jan.13,2009	No	None
"Entangled"	Honest Bob and the Factory-to-Dealer Incentives	2000s	Indie Rock	Single	Jan.13,2009	Yes	None
"Space Cowboy"	Steve Miller Band	1960s	Classic Rock	Steve Miller Band 01	Jan.20,2009	Yes	None
" Take the Money and Run "	Steve Miller Band	1970s	Classic Rock	Steve Miller Band 01	Jan.20,2009	No	None
" The Joker "	Steve Miller Band	1970s	Classic Rock	Steve Miller Band 01	Jan.20,2009	No	None
" I Stand Alone "	Godsmack	2000s	Nu-Metal	Single	Jan.20,2009	Yes	None
" Feed the Tree "	Belly	1990s	Alternative	Single	Jan.20,2009	Yes	None
"Wind Me Up"	Ghost Hounds	2000s	Rock	Single	Jan.20,2009	Yes	None
" Typical "	Mutemath	2000s	Alternative	Single	Jan.20,2009	Yes	None
"War Zone"	Rob Zombie	2000s	Nu-Metal	Single	Jan.20,2009	No	None
"Cold Rain and Snow"	Grateful Dead	1960s	Classic Rock	Grateful Dead 02	Jan.27,2009	Yes	None
"Doin' That Rag"	Grateful Dead	1960s	Classic Rock	Grateful Dead 02	Jan.27,2009	No	None
"Don't Ease Me In"	Grateful Dead	1980s	Classic Rock	Grateful Dead 02	Jan.27,2009	No	None
" Fire on the Mountain "	Grateful Dead	1970s	Classic Rock	Grateful Dead 02	Jan.27,2009	No	None
"Hell in a Bucket"	Grateful Dead	1980s	Classic Rock	Grateful Dead 02	Jan.27,2009	No	None
" Uncle John's Band "	Grateful Dead	1970s	Classic Rock	Grateful Dead 02	Jan.27,2009	Yes	None
" The Boys Are Back in Town " (Live)	Thin Lizzy	2000s	Classic Rock	Thin Lizzy 01	Feb.3,2009	No	None
"Cowboy Song" (Live)	Thin Lizzy	2000s	Classic Rock	Thin Lizzy 01	Feb.3,2009	Yes	None
" Jailbreak " (Live)	Thin Lizzy	2000s	Classic Rock	Thin Lizzy 01	Feb.3,2009	No	None
"Precious"	The Pretenders	1980s	Punk	Single	Feb.3,2009	No	None
" Hit Me With Your Best Shot "	Pat Benatar	1980s	Classic Rock	Single	Feb.3,2009	Yes	None
"Break My Heart"	Nikko	2000s	Pop-Rock	Single	Feb.3,2009	Yes	None
"Don't Tell Me"	Nikko	2000s	Pop-Rock	Single	Feb.3,2009	Yes	None
"Creepin' Up the Backstairs"	The Fratellis	2000s	Alternative	The Fratellis 01	Feb.10,2009	No	None
" Flathead "	The Fratellis	2000s	Alternative	The Fratellis 01	Feb.10,2009	No	None
" Henrietta "	The Fratellis	2000s	Alternative	The Fratellis 01	Feb.10,2009	No	None
" More Human than Human "	White Zombie	1990s	Metal	Single	Feb.17,2009	No	None
" Black Sunshine "	White Zombie	1990s	Metal	Single	Feb.17,2009	No	None
"Wasted Again"	Turbonegro	2000s	Punk	Single	Feb.17,2009	No	None
"3 Dimes Down"	Drive-By Truckers	2000s	Country	Alt-Country 01	Feb.24,2009	No	None
"Can't Let Go"	Lucinda Williams	1990s	Country	Alt-Country 01	Feb.24,2009	No	None
"People Got a Lotta Nerve"	Neko Case	2000s	Country	Alt-Country 01	Feb.24,2009	No	None
"Time Bomb" (Live)	Old 97's	2000s	Country	Alt-Country 01	Feb.24,2009	No	None
"Satellite Radio"	Steve Earle	2000s	Country	Alt-Country 01	Feb.24,2009	Yes	None
" Futures "	Jimmy Eat World	2000s	Pop-Rock	Jimmy Eat World 01	Feb.24,2009	Yes	None
"Lucky Denver Mint"	Jimmy Eat World	1990s	Pop-Rock	Jimmy Eat World 01	Feb.24,2009	Yes	None
" Sweetness "	Jimmy Eat World	2000s	Pop-Rock	Jimmy Eat World 01	Feb.24,2009	Yes	None
