Season	Series	Team	Races	Wins	Poles	Points	Position
2005	Formula Campus France	La Filière	14	4	3	205	1st
2006	French Formula Renault 2.0	SG Formula	13	2	3	108	2nd
2006	Eurocup Formula Renault 2.0	SG Formula	2	0	0	0	NC†
2006-07	A1 Grand Prix	A1 Team France	4	0	0	3	4th‡
2007	Formula 3 Euro Series	Signature-Plus	20	0	0	23	10th
2008	Formula 3 Euro Series	Signature-Plus	20	0	0	35	8th
2009	Formula 3 Euro Series	Signature	20	2	0	47	5th
2009	Macau Grand Prix	Signature	1	0	0	N/A	2nd
2010	Indy Lights	Sam Schmidt Motorsports	13	5	3	494	1st
2011	Formula Renault 3.5 Series	Pons Racing	2	0	0	0	NC
2012	Porsche Carrera Cup France	Sébastien Loeb Racing	14	6	4	253	1st
