Week	Date	Opponent	Result	Record	TV Time	Attendance
1	September 12, 2004	at Cleveland Browns	L 20–3	0–1–0	CBS 1:00pm	73,068
2	September 19, 2004	Pittsburgh Steelers	W 30–13	1–1–0	CBS 1:00pm	69,859
3	September 26, 2004	at Cincinnati Bengals	W 23–9	2–1–0	CBS 1:00pm	65,575
4	October 4, 2004	Kansas City Chiefs	L 27–24	2–2–0	ABC 9:00pm	69,827
5	October 10, 2004	at Washington Redskins	W 17–10	3–2–0	ESPN 8:30pm	90,287
6	Bye	Bye	Bye	Bye	Bye	Bye
7	October 24, 2004	Buffalo Bills	W 20–6	4–2–0	CBS 1:00pm	69,809
8	October 31, 2004	at Philadelphia Eagles	L 15–10	4–3–0	CBS 1:00pm	67,715
9	November 7, 2004	Cleveland Browns	W 27–13	5–3–0	ESPN 8:30pm	69,781
10	November 14, 2004	at New York Jets	W 20–17 OT	6–3–0	CBS 1:00pm	77,826
11	November 21, 2004	Dallas Cowboys	W 30–10	7–3–0	FOX 1:00pm	69,924
12	November 28, 2004	at New England Patriots	L 24–3	7–4–0	CBS 4:15pm	68,756
13	December 5, 2004	Cincinnati Bengals	L 27–26	7–5–0	CBS 1:00pm	69,695
14	December 12, 2004	New York Giants	W 37–14	8–5–0	FOX 1:00pm	69,856
15	December 19, 2004	at Indianapolis Colts	L 20–10	8–6–0	ESPN 8:30pm	57,240
16	December 26, 2004	at Pittsburgh Steelers	L 20–7	8–7–0	CBS 1:00pm	64,227
17	January 2, 2005	Miami Dolphins	W 30–23	9–7–0	CBS 1:00pm	69,843
