Designation (bore)	Length Overall	Weight of Gun	Weight of Shot	Weight of Shell	Service Charge	Range (yards)
32-pdr. of 27 cwt. (6.2inch)	93.72 in.	3,200lb.	32lb.	26.5lb.	4lb.	1637 @ 6° elev.
32-pdr of 4,500lb. M.1864 (6.2inch)	107.5 in.	4,500lb.	32lb.	26.5lb.	6lb.	1756 @ 5° elev.
VIII-inch	115.5 in.	6,500lb.	65lb.	52.7lb.	7lb.	2600 @ 11° elev.
IX-inch	131 in.	9,000lb.	90lb.	73.5lb.	13lb.	3450 @ 15° elev.
X-inch	146 in.*	12,000lb.	124lb.	101.5lb.	12.5lb.	3000 @ 11° elev.
X-inch (heavy)	145 in.*	16,500lb.	124lb.	101.5lb.	18lb.	—
XI-inch	161 in.	15,700lb.	166lb.	133.5lb.	20lb.	3650 @ 15° elev.
XIII-inch	162 in.*	36,00lb.	276lb.	216.5lb.	40lb.	—
XV-inch Short "Passaic"	162 in.*	42,000lb.	440lb.	352lb.	35lb.	2100 @ 7° elev.
XV-inch Long "Tecumseh"	178 in.*	43,000lb.	440lb.	352lb.	35lb.	2100 @ 7° elev.
XX-inch	204 in.	100,000lb.	1,080lb.*	—	100lbs.	—
