Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1957 (30th)	Nine Lives	Ni Liv	Arne Skouen Category:Articles with hCards	Nominee
1962 (35th)	Cold Tracks	Kalde spor	Arne Skouen Category:Articles with hCards	Not Nominated
1984 (57th)	The Headman	Høvdingen	Terje Kristiansen Category:Articles with hCards	Not Nominated
1985 (58th)	Wives - 10 Years After	Hustruer - ti år etter	Anja Breien Category:Articles with hCards	Not Nominated
1986 (59th)	Hard Asphalt	Hard asfalt	Sølve Skagen Category:Articles with hCards	Not Nominated
1987 (60th)	The Pathfinder	Ofelaš	Nils Gaup Category:Articles with hCards	Nominee
1988 (61st)	The Ice Palace	Is-slottet	Per Blom Category:Articles with hCards	Not Nominated
1989 (62nd)	A Handful of Time	Lekce Faust	Martin Asphaug Category:Articles with hCards	Not Nominated
1990 (63rd)	Herman	Herman	Erik Gustavson Category:Articles with hCards	Not Nominated
1991 (64th)	Frida - Straight from the Heart	Frida - med hjertet i hånden	Berit Nesheim Category:Articles with hCards	Not Nominated
1992 (65th)	Warrior's Heart	Krigerens hjerte	Leidulv Risan Category:Articles with hCards	Not Nominated
1994 (66th)	The Telegraphist	Telegrafisten	Erik Gustavson Category:Articles with hCards	Not Nominated
1994 (67th)	Cross My Heart and Hope to Die	Ti kniver i hjertet	Marius Holst Category:Articles with hCards	Not Nominated
1995 (68th)	Kristin Lavransdatter	Kristin Lavransdatter	Liv Ullmann Category:Articles with hCards	Not Nominated
1996 (69th)	The Other Side of Sunday	Søndagsengler	Berit Nesheim Category:Articles with hCards	Nominee
1997 (70th)	Junk mail	Budbringeren	Pål Sletaune Category:Articles with hCards	Not Nominated
1998 (71st)	Only Clouds Move the Stars	Bare skyer beveger stjernene	Torun Lian Category:Articles with hCards	Not Nominated
1999 (72nd)	The Prompter	Suffløsen	Hilde Heier Category:Articles with hCards	Not Nominated
2000 (73rd)	Odd Little Man	Da jeg traff Jesus... med sprettert	Stein Leikanger Category:Articles with hCards	Not Nominated
2001 (74th)	Elling	Elling	Petter Næss Category:Articles with hCards	Nominee
2003 (76th)	Kitchen Stories	Salmer fra kjøkkenet	Bent Hamer Category:Articles with hCards	Not Nominated
2004 (77th)	Hawaii, Oslo	Hawaii, Oslo	Erik Poppe Category:Articles with hCards	Not Nominated
2005: (78th)	Kissed by Winter	Vinterkyss	Sara Johnsen Category:Articles with hCards	Not Nominated
2006 (79th)	Reprise	Reprise	Joachim Trier Category:Articles with hCards	Not Nominated
2007 (80th)	Gone with the Woman	Tatt av Kvinnen	Petter Næss Category:Articles with hCards	Not Nominated
2008 (81st)	O' Horten	O' Horten	Bent Hamer Category:Articles with hCards	Not Nominated
2010 (83rd)	Angel	Engelen	Margreth Olin Category:Articles with hCards	Not Nominated
2011 (84th)	Happy, Happy	Sykt lykkelig	Anne Sewitsky Category:Articles with hCards	Not Nominated
2012 (85th)	Kon-Tiki	Kon-Tiki	Joachim Rønning , Espen Sandberg	Nominee
