Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 1	Phoenix	W 126–99 (OT)	Danilo Gallinari (27)	Danilo Gallinari (10)	Larry Hughes (12)	Madison Square Garden 19,763	4–14
19	December 2	@ Orlando	L 104–118 (OT)	Wilson Chandler (24)	Danilo Gallinari (7)	Danilo Gallinari , Larry Hughes (3)	Amway Arena 17,461	4–15
20	December 4	@ Atlanta	W 114–107 (OT)	Al Harrington (27)	David Lee (17)	Chris Duhon (10)	Philips Arena 17,165	5–15
21	December 6	New Jersey	W 106–97 (OT)	Al Harrington (26)	Al Harrington (14)	Al Harrington , Chris Duhon (5)	Madison Square Garden 19,602	6–15
22	December 7	Portland	W 93–84 (OT)	Larry Hughes (21)	David Lee (10)	Chris Duhon (9)	Madison Square Garden 19,763	7–15
23	December 11	@ New Orleans	W 113–96 (OT)	Al Harrington (28)	David Lee (14)	Chris Duhon (9)	New Orleans Arena 15,569	8–15
24	December 15	@ Charlotte	L 87–94 (OT)	Chris Duhon (18)	David Lee (8)	Chris Duhon (6)	Time Warner Cable Arena 13,606	8–16
26	December 18	LA Clippers	W 95–91 (OT)	David Lee (25)	David Lee (11)	Chris Duhon (10)	Madison Square Garden 19,763	9–17
27	December 20	Charlotte	W 98–94 (OT)	Wilson Chandler (26)	David Lee (15)	David Lee (7)	Madison Square Garden 18,767	10–17
28	December 22	Chicago	W 88–81 (OT)	Al Harrington (20)	David Lee (21)	David Lee (5)	Madison Square Garden 19,763	11–17
29	December 25	Miami	L 87–93 (OT)	Danilo Gallinari (26)	David Lee (16)	Danilo Gallinari , Chris Duhon (3)	Madison Square Garden 19,763	11–18
30	December 27	San Antonio	L 88–95 (OT)	David Lee (28)	David Lee (10)	Chris Duhon (13)	Madison Square Garden 19,763	11–19
31	December 29	@ Detroit	W 104–87 (OT)	David Lee (30)	David Lee (12)	Chris Duhon (7)	The Palace of Auburn Hills 22,076	12–19
